paper_id	paper_doi	researcher_group	journal	year	fig_pair	similarity_score	verdict	method	review_status	analyst	notes
UPD1-0155	10.1182/bld.upd1-0154	Ghobrial	Science	2020	Fig.4C	0.778	DISTINCT	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #4
UPD1-0156	10.1182/bld.upd1-0155	Glimcher	Leukemia	2018	Fig.2C	0.859	SIMILAR	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #4
UPD1-0157	10.1182/bld.upd1-0156	Carrasco	Blood	2016	Fig.6C	0.8698	SIMILAR	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #4
UPD1-0158	10.1182/bld.upd1-0157	Glimcher	Science	2021	Fig.6C	0.5253	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #4
UPD1-0159	10.1182/bld.upd1-0158	Hahn	Nature Medicine	2020	Fig.7B	0.772	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #4
UPD1-0160	10.1182/bld.upd1-0159	Anderson	Leukemia	2006	Fig.2C	0.9337	SIMILAR	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #4
UPD1-0161	10.1182/bld.upd1-0160	Glimcher	Science	1999	Fig.5A	0.9094	SIMILAR	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #4
UPD1-0162	10.1182/bld.upd1-0161	Glimcher	Science	2000	Fig.4C	0.5528	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #4
UPD1-0163	10.1182/bld.upd1-0162	Carrasco	Blood	2022	Fig.5A	0.8315	SIMILAR	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #4
UPD1-0164	10.1182/bld.upd1-0163	Ghobrial	Nature Medicine	2019	Fig.2A	0.6096	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #4
UPD1-0165	10.1182/bld.upd1-0164	Glimcher	Blood	2005	Fig.7C	0.5125	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #4
UPD1-0166	10.1182/bld.upd1-0165	Carrasco	Blood	1995	Fig.8B	0.7796	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #4
UPD1-0167	10.1182/bld.upd1-0166	Hahn	Nature Medicine	1997	Fig.6B	0.9329	SIMILAR	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #4
UPD1-0168	10.1182/bld.upd1-0167	Carrasco	Leukemia	2019	Fig.2A	0.9665	DUPLICATE	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #4
UPD1-0169	10.1182/bld.upd1-0168	Hahn	Science	2021	Fig.6A	0.6291	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #4
UPD1-0170	10.1182/bld.upd1-0169	Anderson	Leukemia	2018	Fig.4C	0.6196	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #4
UPD1-0171	10.1182/bld.upd1-0170	Ghobrial	Leukemia	1998	Fig.1B	0.6542	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #4
UPD1-0172	10.1182/bld.upd1-0171	Carrasco	Nature Medicine	2001	Fig.1A	0.617	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #4
UPD1-0173	10.1182/bld.upd1-0172	Hahn	Nature Medicine	1997	Fig.1B	0.5812	DISTINCT	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #4
UPD1-0174	10.1182/bld.upd1-0173	Anderson	Nature Medicine	2014	Fig.6C	0.5353	DISTINCT	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #4
UPD1-0175	10.1182/bld.upd1-0174	Carrasco	Nature Medicine	1997	Fig.2A	0.7285	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #4
UPD1-0176	10.1182/bld.upd1-0175	Carrasco	Nature Medicine	2000	Fig.5B	0.9777	DUPLICATE	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #4
UPD1-0177	10.1182/bld.upd1-0176	Hahn	Cancer Cell	2021	Fig.8A	0.6298	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #4
UPD1-0178	10.1182/bld.upd1-0177	Carrasco	Blood	2008	Fig.7A	0.5627	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #4
UPD1-0179	10.1182/bld.upd1-0178	Hahn	Cancer Cell	2016	Fig.8B	0.9623	DUPLICATE	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #4
UPD1-0180	10.1182/bld.upd1-0179	Anderson	Cancer Cell	2010	Fig.2B	0.9727	DUPLICATE	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #4
UPD1-0181	10.1182/bld.upd1-0180	Hahn	Cancer Cell	2005	Fig.3C	0.7201	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #4
UPD1-0182	10.1182/bld.upd1-0181	Anderson	Science	2005	Fig.3C	0.7714	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #4
UPD1-0183	10.1182/bld.upd1-0182	Hahn	Science	2023	Fig.6C	0.6149	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #4
UPD1-0184	10.1182/bld.upd1-0183	Glimcher	Blood	2012	Fig.4C	0.8385	SIMILAR	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #4
UPD1-0185	10.1182/bld.upd1-0184	Ghobrial	Leukemia	2020	Fig.1C	0.901	SIMILAR	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #4
UPD1-0186	10.1182/bld.upd1-0185	Anderson	Science	2016	Fig.6B	0.8613	SIMILAR	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #4
UPD1-0187	10.1182/bld.upd1-0186	Hahn	Science	2023	Fig.2A	0.9212	SIMILAR	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #4
UPD1-0188	10.1182/bld.upd1-0187	Anderson	Leukemia	2015	Fig.8A	0.58	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #4
UPD1-0189	10.1182/bld.upd1-0188	Carrasco	Leukemia	2017	Fig.7B	0.7477	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #4
UPD1-0190	10.1182/bld.upd1-0189	Ghobrial	Science	1997	Fig.5A	0.7467	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #4
UPD1-0191	10.1182/bld.upd1-0190	Carrasco	Blood	2017	Fig.4C	0.6714	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #4
UPD1-0192	10.1182/bld.upd1-0191	Anderson	Science	2016	Fig.7C	0.8181	SIMILAR	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #4
UPD1-0193	10.1182/bld.upd1-0192	Glimcher	Nature Medicine	2008	Fig.5A	0.8505	SIMILAR	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #4
UPD1-0194	10.1182/bld.upd1-0193	Hahn	Science	2023	Fig.6C	0.7069	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #4
UPD1-0195	10.1182/bld.upd1-0194	Carrasco	Science	2015	Fig.3A	0.9769	DUPLICATE	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #4
UPD1-0196	10.1182/bld.upd1-0195	Hahn	Blood	2006	Fig.3B	0.7199	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #4
UPD1-0197	10.1182/bld.upd1-0196	Glimcher	Science	2005	Fig.1A	0.8588	SIMILAR	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #4
UPD1-0198	10.1182/bld.upd1-0197	Glimcher	Science	2009	Fig.3C	0.5192	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #4
UPD1-0199	10.1182/bld.upd1-0198	Anderson	Blood	2022	Fig.7C	0.5609	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #4
UPD1-0200	10.1182/bld.upd1-0199	Anderson	Leukemia	2003	Fig.7C	0.9665	DUPLICATE	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #4
UPD1-0201	10.1182/bld.upd1-0200	Anderson	Nature Medicine	2015	Fig.3A	0.8296	SIMILAR	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #5
UPD1-0202	10.1182/bld.upd1-0201	Anderson	Nature Medicine	2011	Fig.1A	0.7031	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #5
UPD1-0203	10.1182/bld.upd1-0202	Hahn	Blood	2012	Fig.2B	0.598	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #5
UPD1-0204	10.1182/bld.upd1-0203	Hahn	Cancer Cell	2017	Fig.4C	0.8298	SIMILAR	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #5
UPD1-0205	10.1182/bld.upd1-0204	Anderson	Cancer Cell	1999	Fig.5C	0.7727	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #5
UPD1-0206	10.1182/bld.upd1-0205	Glimcher	Nature Medicine	2022	Fig.5C	0.5496	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #5
UPD1-0207	10.1182/bld.upd1-0206	Hahn	Leukemia	2008	Fig.7C	0.9087	SIMILAR	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #5
UPD1-0208	10.1182/bld.upd1-0207	Anderson	Blood	2020	Fig.6A	0.5096	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #5
UPD1-0209	10.1182/bld.upd1-0208	Ghobrial	Science	2012	Fig.8A	0.7099	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #5
UPD1-0210	10.1182/bld.upd1-0209	Hahn	Blood	2003	Fig.8C	0.6955	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #5
UPD1-0211	10.1182/bld.upd1-0210	Anderson	Cancer Cell	1999	Fig.1B	0.9177	SIMILAR	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #5
UPD1-0212	10.1182/bld.upd1-0211	Ghobrial	Nature Medicine	2020	Fig.1A	0.9901	DUPLICATE	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #5
UPD1-0213	10.1182/bld.upd1-0212	Glimcher	Blood	2017	Fig.5B	0.6489	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #5
UPD1-0214	10.1182/bld.upd1-0213	Glimcher	Blood	2022	Fig.8B	0.5613	DISTINCT	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #5
UPD1-0215	10.1182/bld.upd1-0214	Glimcher	Cancer Cell	2014	Fig.5C	0.6976	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #5
UPD1-0216	10.1182/bld.upd1-0215	Anderson	Nature Medicine	2022	Fig.1A	0.5089	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #5
UPD1-0217	10.1182/bld.upd1-0216	Ghobrial	Nature Medicine	2010	Fig.1A	0.6714	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #5
UPD1-0218	10.1182/bld.upd1-0217	Hahn	Cancer Cell	2000	Fig.7B	0.7448	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #5
UPD1-0219	10.1182/bld.upd1-0218	Anderson	Cancer Cell	2020	Fig.5C	0.8742	SIMILAR	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #5
UPD1-0220	10.1182/bld.upd1-0219	Ghobrial	Cancer Cell	2001	Fig.6A	0.8714	SIMILAR	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #5
UPD1-0221	10.1182/bld.upd1-0220	Ghobrial	Science	2013	Fig.8B	0.6208	DISTINCT	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #5
UPD1-0222	10.1182/bld.upd1-0221	Ghobrial	Leukemia	2009	Fig.7C	0.7194	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #5
UPD1-0223	10.1182/bld.upd1-0222	Glimcher	Blood	2004	Fig.2A	0.9895	DUPLICATE	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #5
UPD1-0224	10.1182/bld.upd1-0223	Ghobrial	Science	2008	Fig.1B	0.6536	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #5
UPD1-0225	10.1182/bld.upd1-0224	Glimcher	Science	2006	Fig.4B	0.8112	SIMILAR	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #5
UPD1-0226	10.1182/bld.upd1-0225	Glimcher	Leukemia	2003	Fig.5B	0.8081	SIMILAR	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #5
UPD1-0227	10.1182/bld.upd1-0226	Carrasco	Science	2005	Fig.4A	0.8961	SIMILAR	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #5
UPD1-0228	10.1182/bld.upd1-0227	Glimcher	Cancer Cell	2019	Fig.3B	0.9756	DUPLICATE	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #5
UPD1-0229	10.1182/bld.upd1-0228	Glimcher	Science	1997	Fig.4B	0.8075	SIMILAR	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #5
UPD1-0230	10.1182/bld.upd1-0229	Ghobrial	Leukemia	2004	Fig.8B	0.6732	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #5
UPD1-0231	10.1182/bld.upd1-0230	Ghobrial	Nature Medicine	1995	Fig.6B	0.5078	DISTINCT	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #5
UPD1-0232	10.1182/bld.upd1-0231	Anderson	Blood	1996	Fig.4B	0.4598	DISTINCT	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #5
UPD1-0233	10.1182/bld.upd1-0232	Glimcher	Nature Medicine	1997	Fig.6A	0.8952	SIMILAR	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #5
UPD1-0234	10.1182/bld.upd1-0233	Carrasco	Leukemia	2000	Fig.2C	0.9236	SIMILAR	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #5
UPD1-0235	10.1182/bld.upd1-0234	Carrasco	Blood	2003	Fig.7C	0.6449	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #5
UPD1-0236	10.1182/bld.upd1-0235	Anderson	Blood	2002	Fig.8C	0.9825	DUPLICATE	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #5
UPD1-0237	10.1182/bld.upd1-0236	Ghobrial	Leukemia	2003	Fig.2C	0.5468	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #5
UPD1-0238	10.1182/bld.upd1-0237	Carrasco	Leukemia	2020	Fig.4B	0.7808	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #5
UPD1-0239	10.1182/bld.upd1-0238	Carrasco	Cancer Cell	2003	Fig.2C	0.611	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #5
UPD1-0240	10.1182/bld.upd1-0239	Carrasco	Nature Medicine	2000	Fig.8A	0.7308	DISTINCT	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #5
UPD1-0241	10.1182/bld.upd1-0240	Ghobrial	Cancer Cell	2007	Fig.6B	0.5007	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #5
UPD1-0242	10.1182/bld.upd1-0241	Anderson	Nature Medicine	2005	Fig.7A	0.5033	DISTINCT	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #5
UPD1-0243	10.1182/bld.upd1-0242	Hahn	Leukemia	1999	Fig.3C	0.6833	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #5
UPD1-0244	10.1182/bld.upd1-0243	Hahn	Nature Medicine	2019	Fig.3C	0.9931	DUPLICATE	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #5
UPD1-0245	10.1182/bld.upd1-0244	Anderson	Leukemia	2008	Fig.6C	0.9123	SIMILAR	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #5
UPD1-0246	10.1182/bld.upd1-0245	Carrasco	Nature Medicine	2010	Fig.2A	0.4668	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #5
UPD1-0247	10.1182/bld.upd1-0246	Glimcher	Blood	2016	Fig.8B	0.8278	SIMILAR	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #5
UPD1-0248	10.1182/bld.upd1-0247	Ghobrial	Cancer Cell	2010	Fig.6C	0.5456	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #5
UPD1-0249	10.1182/bld.upd1-0248	Hahn	Leukemia	2020	Fig.8A	0.7043	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #5
UPD1-0250	10.1182/bld.upd1-0249	Glimcher	Science	2008	Fig.4C	0.7129	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #5
UPD1-0251	10.1182/bld.upd1-0250	Ghobrial	Nature Medicine	2005	Fig.4B	0.8668	SIMILAR	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #6
UPD1-0252	10.1182/bld.upd1-0251	Glimcher	Leukemia	2021	Fig.6B	0.5045	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #6
UPD1-0253	10.1182/bld.upd1-0252	Hahn	Science	2001	Fig.6C	0.4624	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #6
UPD1-0254	10.1182/bld.upd1-0253	Ghobrial	Science	2013	Fig.4A	0.66	DISTINCT	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #6
UPD1-0255	10.1182/bld.upd1-0254	Hahn	Science	1996	Fig.4B	0.8361	SIMILAR	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #6
UPD1-0256	10.1182/bld.upd1-0255	Glimcher	Blood	1995	Fig.6C	0.9598	DUPLICATE	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #6
UPD1-0257	10.1182/bld.upd1-0256	Ghobrial	Science	2003	Fig.2B	0.5629	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #6
UPD1-0258	10.1182/bld.upd1-0257	Ghobrial	Blood	1995	Fig.2A	0.7482	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #6
UPD1-0259	10.1182/bld.upd1-0258	Hahn	Cancer Cell	2006	Fig.3B	0.7559	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #6
UPD1-0260	10.1182/bld.upd1-0259	Anderson	Leukemia	2018	Fig.5A	0.9256	SIMILAR	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #6
UPD1-0261	10.1182/bld.upd1-0260	Anderson	Leukemia	2011	Fig.5A	0.5357	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #6
UPD1-0262	10.1182/bld.upd1-0261	Ghobrial	Leukemia	2008	Fig.7B	0.5468	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #6
UPD1-0263	10.1182/bld.upd1-0262	Glimcher	Leukemia	2020	Fig.4A	0.5169	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #6
UPD1-0264	10.1182/bld.upd1-0263	Glimcher	Cancer Cell	2007	Fig.7B	0.8693	SIMILAR	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #6
UPD1-0265	10.1182/bld.upd1-0264	Anderson	Cancer Cell	2017	Fig.6A	0.8169	SIMILAR	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #6
UPD1-0266	10.1182/bld.upd1-0265	Glimcher	Science	2008	Fig.8A	0.4668	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #6
UPD1-0267	10.1182/bld.upd1-0266	Hahn	Science	2020	Fig.8A	0.4694	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #6
UPD1-0268	10.1182/bld.upd1-0267	Anderson	Science	2015	Fig.1C	0.6731	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #6
UPD1-0269	10.1182/bld.upd1-0268	Ghobrial	Science	2000	Fig.8C	0.5539	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #6
UPD1-0270	10.1182/bld.upd1-0269	Carrasco	Nature Medicine	2014	Fig.3A	0.7639	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #6
UPD1-0271	10.1182/bld.upd1-0270	Ghobrial	Nature Medicine	2000	Fig.7C	0.9451	SIMILAR	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #6
UPD1-0272	10.1182/bld.upd1-0271	Carrasco	Science	2007	Fig.6A	0.7619	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #6
UPD1-0273	10.1182/bld.upd1-0272	Hahn	Leukemia	2013	Fig.2A	0.6329	DISTINCT	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #6
UPD1-0274	10.1182/bld.upd1-0273	Hahn	Leukemia	2006	Fig.7B	0.4539	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #6
UPD1-0275	10.1182/bld.upd1-0274	Ghobrial	Nature Medicine	2009	Fig.4C	0.8883	SIMILAR	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #6
UPD1-0276	10.1182/bld.upd1-0275	Glimcher	Science	1996	Fig.5B	0.7387	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #6
UPD1-0277	10.1182/bld.upd1-0276	Anderson	Blood	2000	Fig.1C	0.7153	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #6
UPD1-0278	10.1182/bld.upd1-0277	Anderson	Cancer Cell	2007	Fig.1C	0.791	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #6
UPD1-0279	10.1182/bld.upd1-0278	Carrasco	Leukemia	2001	Fig.8A	0.6624	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #6
UPD1-0280	10.1182/bld.upd1-0279	Anderson	Blood	2009	Fig.3C	0.9763	DUPLICATE	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #6
UPD1-0281	10.1182/bld.upd1-0280	Glimcher	Blood	2001	Fig.2A	0.9528	DUPLICATE	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #6
UPD1-0282	10.1182/bld.upd1-0281	Ghobrial	Blood	2013	Fig.4A	0.851	SIMILAR	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #6
UPD1-0283	10.1182/bld.upd1-0282	Anderson	Science	2013	Fig.5A	0.9062	SIMILAR	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #6
UPD1-0284	10.1182/bld.upd1-0283	Hahn	Blood	2000	Fig.2B	0.6842	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #6
UPD1-0285	10.1182/bld.upd1-0284	Hahn	Nature Medicine	2023	Fig.3A	0.9897	DUPLICATE	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #6
UPD1-0286	10.1182/bld.upd1-0285	Hahn	Cancer Cell	2006	Fig.1B	0.5077	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #6
UPD1-0287	10.1182/bld.upd1-0286	Anderson	Nature Medicine	2013	Fig.3B	0.8333	SIMILAR	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #6
UPD1-0288	10.1182/bld.upd1-0287	Ghobrial	Blood	2003	Fig.3C	0.9595	DUPLICATE	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #6
UPD1-0289	10.1182/bld.upd1-0288	Ghobrial	Leukemia	2009	Fig.5B	0.8743	SIMILAR	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #6
UPD1-0290	10.1182/bld.upd1-0289	Hahn	Science	2021	Fig.7C	0.6014	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #6
UPD1-0291	10.1182/bld.upd1-0290	Glimcher	Leukemia	2006	Fig.1C	0.8577	SIMILAR	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #6
UPD1-0292	10.1182/bld.upd1-0291	Carrasco	Leukemia	2021	Fig.5A	0.5007	DISTINCT	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #6
UPD1-0293	10.1182/bld.upd1-0292	Carrasco	Blood	2020	Fig.2A	0.5718	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #6
UPD1-0294	10.1182/bld.upd1-0293	Glimcher	Nature Medicine	2017	Fig.4B	0.5627	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #6
UPD1-0295	10.1182/bld.upd1-0294	Hahn	Leukemia	2023	Fig.7A	0.4734	DISTINCT	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #6
UPD1-0296	10.1182/bld.upd1-0295	Carrasco	Nature Medicine	2016	Fig.7A	0.9967	DUPLICATE	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #6
UPD1-0297	10.1182/bld.upd1-0296	Hahn	Cancer Cell	1997	Fig.1A	0.5287	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #6
UPD1-0298	10.1182/bld.upd1-0297	Hahn	Leukemia	1996	Fig.8A	0.5493	DISTINCT	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #6
UPD1-0299	10.1182/bld.upd1-0298	Glimcher	Leukemia	2006	Fig.7B	0.497	DISTINCT	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #6
UPD1-0300	10.1182/bld.upd1-0299	Anderson	Science	2000	Fig.4C	0.8937	SIMILAR	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #6
UPD1-0301	10.1182/bld.upd1-0300	Ghobrial	Science	2000	Fig.1C	0.4792	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #7
UPD1-0302	10.1182/bld.upd1-0301	Hahn	Cancer Cell	2008	Fig.7B	0.5509	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #7
UPD1-0303	10.1182/bld.upd1-0302	Hahn	Nature Medicine	2009	Fig.7A	0.9106	SIMILAR	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #7
UPD1-0304	10.1182/bld.upd1-0303	Glimcher	Cancer Cell	2014	Fig.6A	0.66	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #7
UPD1-0305	10.1182/bld.upd1-0304	Ghobrial	Science	2020	Fig.8A	0.8918	SIMILAR	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #7
UPD1-0306	10.1182/bld.upd1-0305	Anderson	Leukemia	2020	Fig.5A	0.5218	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #7
UPD1-0307	10.1182/bld.upd1-0306	Anderson	Blood	2022	Fig.2C	0.6879	DISTINCT	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #7
UPD1-0308	10.1182/bld.upd1-0307	Hahn	Leukemia	2008	Fig.8B	0.5198	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #7
UPD1-0309	10.1182/bld.upd1-0308	Carrasco	Nature Medicine	1995	Fig.2C	0.7641	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #7
