paper_id	paper_doi	researcher_group	journal	year	fig_pair	similarity_score	verdict	method	researcher_confirmed_identity	review_status	notes
UPD2-0138	10.1182/bld.anderson-0137	Anderson	Blood	2011	Fig.4B	0.5121	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0139	10.1038/nm.3867	Anderson	Cancer Cell	2020	Fig.5C	0.8301	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0140	10.1182/bld.anderson-0139	Anderson	Blood	2004	Fig.5A	0.9282	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0141	10.1182/bld.anderson-0140	Anderson	Blood	2011	Fig.6C	0.7449	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0142	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2018	Fig.2A	0.951	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0143	10.1182/bld.anderson-0142	Anderson	Blood	2002	Fig.6A	0.5644	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0144	10.1182/bld.anderson-0143	Anderson	Blood	2013	Fig.2B	0.7023	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0145	10.1038/nm.3867	Anderson	Cancer Cell	2011	Fig.4A	0.6642	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0146	10.1182/bld.anderson-0145	Anderson	Blood	2004	Fig.3C	0.9435	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0147	10.1182/bld.anderson-0146	Anderson	Blood	2017	Fig.6C	0.674	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0148	10.1038/nm.3867	Anderson	Cancer Cell	2021	Fig.5C	0.8246	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0149	10.1182/bld.anderson-0148	Anderson	Blood	2018	Fig.6B	0.7802	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0150	10.1182/bld.anderson-0149	Anderson	Blood	2009	Fig.6A	0.5182	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0151	10.1038/nm.3867	Anderson	Cancer Cell	2016	Fig.6A	0.9726	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0152	10.1182/bld.anderson-0151	Anderson	Blood	2016	Fig.4A	0.6298	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0153	10.1182/bld.anderson-0152	Anderson	Blood	2001	Fig.4A	0.9231	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0154	10.1038/nm.3867	Anderson	Cancer Cell	2000	Fig.6B	0.9766	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0155	10.1182/bld.anderson-0154	Anderson	Blood	2005	Fig.2A	0.5798	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0156	10.1182/bld.anderson-0155	Anderson	Blood	2017	Fig.5A	0.7915	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0157	10.1038/nm.3867	Anderson	Cancer Cell	2006	Fig.6C	0.6228	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0158	10.1182/bld.anderson-0157	Anderson	Blood	2000	Fig.3A	0.5234	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0159	10.1182/bld.anderson-0158	Anderson	Blood	2003	Fig.4A	0.756	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0160	10.1038/nm.3867	Anderson	Cancer Cell	2016	Fig.4C	0.8806	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0161	10.1182/bld.anderson-0160	Anderson	Blood	2018	Fig.3C	0.6099	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0162	10.1182/bld.anderson-0161	Anderson	Blood	2014	Fig.3B	0.9309	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0163	10.1038/nm.3867	Anderson	Cancer Cell	2009	Fig.5B	0.9393	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0164	10.1182/bld.anderson-0163	Anderson	Blood	2010	Fig.4C	0.5749	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0165	10.1182/bld.anderson-0164	Anderson	Blood	2021	Fig.6B	0.5202	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0166	10.1038/nm.3867	Anderson	Cancer Cell	2017	Fig.5A	0.5024	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0167	10.1182/bld.anderson-0166	Anderson	Blood	2010	Fig.1A	0.8224	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0168	10.1182/bld.anderson-0167	Anderson	Blood	2017	Fig.2A	0.753	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0169	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2012	Fig.1B	0.8158	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0170	10.1182/bld.anderson-0169	Anderson	Blood	2007	Fig.5A	0.678	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0171	10.1182/bld.anderson-0170	Anderson	Blood	2012	Fig.4C	0.5268	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0172	10.1038/nm.3867	Anderson	Cancer Cell	2019	Fig.1B	0.5523	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0173	10.1182/bld.anderson-0172	Anderson	Blood	2011	Fig.1A	0.5774	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0174	10.1182/bld.anderson-0173	Anderson	Blood	2020	Fig.6A	0.8661	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0175	10.1038/nm.3867	Anderson	Cancer Cell	2008	Fig.5C	0.9554	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0176	10.1182/bld.anderson-0175	Anderson	Blood	2004	Fig.5C	0.6163	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0177	10.1182/bld.anderson-0176	Anderson	Blood	2007	Fig.2A	0.4938	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0178	10.1038/nm.3867	Anderson	Cancer Cell	2019	Fig.4C	0.7934	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0179	10.1182/bld.anderson-0178	Anderson	Blood	2003	Fig.6C	0.9346	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0180	10.1182/bld.anderson-0179	Anderson	Blood	2014	Fig.5C	0.8051	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #6
UPD2-0181	10.1038/nm.3867	Anderson	Cancer Cell	2011	Fig.5C	0.7203	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0182	10.1182/bld.anderson-0181	Anderson	Blood	2008	Fig.3C	0.5234	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0183	10.1182/bld.anderson-0182	Anderson	Blood	2009	Fig.6C	0.6572	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0184	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2002	Fig.5C	0.8129	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0185	10.1182/bld.anderson-0184	Anderson	Blood	2001	Fig.4B	0.8225	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0186	10.1182/bld.anderson-0185	Anderson	Blood	2009	Fig.1A	0.7866	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0187	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2009	Fig.6B	0.4915	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0188	10.1182/bld.anderson-0187	Anderson	Blood	2020	Fig.4C	0.6108	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0189	10.1182/bld.anderson-0188	Anderson	Blood	2018	Fig.2B	0.4651	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0190	10.1038/nm.3867	Anderson	Cancer Cell	2016	Fig.5C	0.5329	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0191	10.1182/bld.anderson-0190	Anderson	Blood	2020	Fig.1B	0.961	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0192	10.1182/bld.anderson-0191	Anderson	Blood	2011	Fig.5C	0.9535	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0193	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2015	Fig.2B	0.5039	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0194	10.1182/bld.anderson-0193	Anderson	Blood	2002	Fig.2A	0.9773	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0195	10.1182/bld.anderson-0194	Anderson	Blood	2021	Fig.1A	0.572	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0196	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2002	Fig.3A	0.6168	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0197	10.1182/bld.anderson-0196	Anderson	Blood	2012	Fig.5A	0.5771	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0198	10.1182/bld.anderson-0197	Anderson	Blood	2017	Fig.4B	0.7211	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0199	10.1038/nm.3867	Anderson	Cancer Cell	2013	Fig.1B	0.59	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0200	10.1182/bld.anderson-0199	Anderson	Blood	2004	Fig.6B	0.9178	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0201	10.1182/bld.anderson-0200	Anderson	Blood	2020	Fig.4A	0.9887	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0202	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2011	Fig.6B	0.7709	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0203	10.1182/bld.anderson-0202	Anderson	Blood	2002	Fig.4A	0.9854	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0204	10.1182/bld.anderson-0203	Anderson	Blood	2002	Fig.3B	0.8258	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0205	10.1038/nm.3867	Anderson	Cancer Cell	2004	Fig.3C	0.856	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0206	10.1182/bld.anderson-0205	Anderson	Blood	2001	Fig.4A	0.7418	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0207	10.1182/bld.anderson-0206	Anderson	Blood	2007	Fig.5C	0.9149	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0208	10.1038/nm.3867	Anderson	Cancer Cell	2014	Fig.3C	0.7007	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0209	10.1182/bld.anderson-0208	Anderson	Blood	2022	Fig.1C	0.5667	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0210	10.1182/bld.anderson-0209	Anderson	Blood	2015	Fig.5B	0.5092	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #7
UPD2-0211	10.1038/nm.3867	Anderson	Cancer Cell	2009	Fig.6A	0.7	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0212	10.1182/bld.anderson-0211	Anderson	Blood	2011	Fig.1B	0.9068	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0213	10.1182/bld.anderson-0212	Anderson	Blood	2006	Fig.4A	0.4612	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0214	10.1038/nm.3867	Anderson	Cancer Cell	2021	Fig.3B	0.5394	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0215	10.1182/bld.anderson-0214	Anderson	Blood	2021	Fig.3B	0.8141	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0216	10.1182/bld.anderson-0215	Anderson	Blood	2000	Fig.3C	0.9689	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0217	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2018	Fig.6A	0.6067	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0218	10.1182/bld.anderson-0217	Anderson	Blood	2013	Fig.6B	0.4859	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0219	10.1182/bld.anderson-0218	Anderson	Blood	2014	Fig.5C	0.5271	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0220	10.1038/nm.3867	Anderson	Cancer Cell	2012	Fig.2C	0.6695	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0221	10.1182/bld.anderson-0220	Anderson	Blood	2022	Fig.6A	0.5508	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0222	10.1182/bld.anderson-0221	Anderson	Blood	2012	Fig.2C	0.4871	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0223	10.1038/nm.3867	Anderson	Cancer Cell	2020	Fig.3C	0.9798	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0224	10.1182/bld.anderson-0223	Anderson	Blood	2022	Fig.2C	0.6326	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0225	10.1182/bld.anderson-0224	Anderson	Blood	2012	Fig.6A	0.6029	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0226	10.1038/nm.3867	Anderson	Cancer Cell	2013	Fig.4B	0.6067	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0227	10.1182/bld.anderson-0226	Anderson	Blood	2018	Fig.3B	0.9855	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0228	10.1182/bld.anderson-0227	Anderson	Blood	2008	Fig.3C	0.9275	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0229	10.1038/nm.3867	Anderson	Cancer Cell	2016	Fig.6B	0.7696	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0230	10.1182/bld.anderson-0229	Anderson	Blood	2018	Fig.1A	0.516	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0231	10.1182/bld.anderson-0230	Anderson	Blood	2011	Fig.4C	0.6314	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0232	10.1038/nm.3867	Anderson	Cancer Cell	2003	Fig.4C	0.5395	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0233	10.1182/bld.anderson-0232	Anderson	Blood	2002	Fig.5A	0.678	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0234	10.1182/bld.anderson-0233	Anderson	Blood	2010	Fig.1B	0.7425	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0235	10.1038/nm.3867	Anderson	Cancer Cell	2022	Fig.1A	0.4755	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0236	10.1182/bld.anderson-0235	Anderson	Blood	2008	Fig.3B	0.8034	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0237	10.1182/bld.anderson-0236	Anderson	Blood	2006	Fig.6B	0.985	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0238	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2014	Fig.4B	0.6446	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0239	10.1182/bld.anderson-0238	Anderson	Blood	2000	Fig.4B	0.9784	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0240	10.1182/bld.anderson-0239	Anderson	Blood	2002	Fig.3A	0.6748	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #8
UPD2-0241	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2009	Fig.1B	0.6069	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0242	10.1182/bld.anderson-0241	Anderson	Blood	2018	Fig.6B	0.9044	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0243	10.1182/bld.anderson-0242	Anderson	Blood	2021	Fig.6B	0.8117	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0244	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2014	Fig.4C	0.6418	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0245	10.1182/bld.anderson-0244	Anderson	Blood	2022	Fig.5B	0.8935	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0246	10.1182/bld.anderson-0245	Anderson	Blood	2009	Fig.3C	0.8381	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0247	10.1038/nm.3867	Anderson	Cancer Cell	2000	Fig.6C	0.5826	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0248	10.1182/bld.anderson-0247	Anderson	Blood	2013	Fig.3A	0.9558	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0249	10.1182/bld.anderson-0248	Anderson	Blood	2009	Fig.3B	0.723	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0250	10.1038/nm.3867	Anderson	Cancer Cell	2002	Fig.3C	0.737	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0251	10.1182/bld.anderson-0250	Anderson	Blood	2005	Fig.1C	0.555	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0252	10.1182/bld.anderson-0251	Anderson	Blood	2019	Fig.3A	0.9004	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0253	10.1038/nm.3867	Anderson	Cancer Cell	2010	Fig.2B	0.9597	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0254	10.1182/bld.anderson-0253	Anderson	Blood	2012	Fig.5B	0.5331	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0255	10.1182/bld.anderson-0254	Anderson	Blood	2000	Fig.3A	0.8228	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0256	10.1038/nm.3867	Anderson	Cancer Cell	2000	Fig.3B	0.4894	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0257	10.1182/bld.anderson-0256	Anderson	Blood	2018	Fig.3B	0.7591	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0258	10.1182/bld.anderson-0257	Anderson	Blood	2015	Fig.4C	0.9427	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0259	10.1038/nm.3867	Anderson	Cancer Cell	2018	Fig.4C	0.5015	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0260	10.1182/bld.anderson-0259	Anderson	Blood	2013	Fig.3A	0.6028	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0261	10.1182/bld.anderson-0260	Anderson	Blood	2001	Fig.1C	0.7006	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0262	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2009	Fig.3B	0.9373	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0263	10.1182/bld.anderson-0262	Anderson	Blood	2001	Fig.1C	0.7195	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0264	10.1182/bld.anderson-0263	Anderson	Blood	2020	Fig.6A	0.5447	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0265	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2012	Fig.6B	0.7458	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0266	10.1182/bld.anderson-0265	Anderson	Blood	2000	Fig.3C	0.8412	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0267	10.1182/bld.anderson-0266	Anderson	Blood	2018	Fig.4C	0.7627	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0268	10.1038/nm.3867	Anderson	Cancer Cell	2022	Fig.5C	0.9373	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0269	10.1182/bld.anderson-0268	Anderson	Blood	2012	Fig.1A	0.9964	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0270	10.1182/bld.anderson-0269	Anderson	Blood	2009	Fig.2C	0.8498	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #9
UPD2-0271	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2003	Fig.4C	0.8479	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #10
UPD2-0272	10.1182/bld.anderson-0271	Anderson	Blood	2009	Fig.4B	0.8518	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #10
UPD2-0273	10.1182/bld.anderson-0272	Anderson	Blood	2021	Fig.1C	0.539	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #10
UPD2-0274	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2011	Fig.5A	0.5423	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #10
UPD2-0275	10.1182/bld.anderson-0274	Anderson	Blood	2010	Fig.6B	0.8642	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #10
