order_id,trigger_time_utc,trigger_time_system_local,timezone_offset_system,cme_settle_reference_utc,delta_target,delta_actual,offset_minutes,status
DHG-000170,2024-11-03T20:20:33Z,2024-11-03T16:20:33,-04:00,2024-11-03T20:00:00Z,-1.9221,-1.9281,60,OFFSET_DST_ERROR
DHG-000171,2024-11-03T20:16:37Z,2024-11-03T16:16:37,-04:00,2024-11-03T20:00:00Z,-0.8929,-1.204,60,OFFSET_DST_ERROR
DHG-000172,2024-11-03T20:00:34Z,2024-11-03T16:00:34,-04:00,2024-11-03T20:00:00Z,-0.5868,-1.1134,60,OFFSET_DST_ERROR
DHG-000173,2024-11-03T20:06:17Z,2024-11-03T16:06:17,-04:00,2024-11-03T20:00:00Z,-1.1062,2.1117,60,OFFSET_DST_ERROR
DHG-000174,2024-11-03T20:26:06Z,2024-11-03T16:26:06,-04:00,2024-11-03T20:00:00Z,1.4843,0.1199,60,OFFSET_DST_ERROR
DHG-000175,2024-11-03T19:55:28Z,2024-11-03T15:55:28,-04:00,2024-11-03T20:00:00Z,0.2282,-0.933,60,OFFSET_DST_ERROR
DHG-000176,2024-11-03T20:01:36Z,2024-11-03T16:01:36,-04:00,2024-11-03T20:00:00Z,-0.4998,-0.1418,60,OFFSET_DST_ERROR
DHG-000177,2024-11-03T19:39:00Z,2024-11-03T15:39:00,-04:00,2024-11-03T20:00:00Z,0.9394,1.9732,60,OFFSET_DST_ERROR
DHG-000178,2024-11-03T20:23:39Z,2024-11-03T16:23:39,-04:00,2024-11-03T20:00:00Z,-0.069,-1.9021,60,OFFSET_DST_ERROR
DHG-000179,2024-11-03T20:12:14Z,2024-11-03T16:12:14,-04:00,2024-11-03T20:00:00Z,1.8103,1.5984,60,OFFSET_DST_ERROR
DHG-000180,2024-11-03T20:12:15Z,2024-11-03T16:12:15,-04:00,2024-11-03T20:00:00Z,0.9164,-1.2852,60,OFFSET_DST_ERROR
DHG-000181,2024-11-03T20:06:34Z,2024-11-03T16:06:34,-04:00,2024-11-03T20:00:00Z,-1.8613,0.5162,60,OFFSET_DST_ERROR
DHG-000182,2024-11-03T20:26:44Z,2024-11-03T16:26:44,-04:00,2024-11-03T20:00:00Z,0.4425,-1.3857,60,OFFSET_DST_ERROR
DHG-000183,2024-11-03T20:00:48Z,2024-11-03T16:00:48,-04:00,2024-11-03T20:00:00Z,-0.1697,-1.5424,60,OFFSET_DST_ERROR
DHG-000184,2024-11-03T20:01:32Z,2024-11-03T16:01:32,-04:00,2024-11-03T20:00:00Z,0.5735,-2.4812,60,OFFSET_DST_ERROR
DHG-000185,2024-11-03T19:41:17Z,2024-11-03T15:41:17,-04:00,2024-11-03T20:00:00Z,-2.2075,0.5354,60,OFFSET_DST_ERROR
DHG-000186,2024-11-03T19:52:50Z,2024-11-03T15:52:50,-04:00,2024-11-03T20:00:00Z,-1.1539,0.1317,60,OFFSET_DST_ERROR
DHG-000187,2024-11-03T19:45:44Z,2024-11-03T15:45:44,-04:00,2024-11-03T20:00:00Z,-0.2723,-1.2103,60,OFFSET_DST_ERROR
DHG-000188,2024-11-03T19:52:13Z,2024-11-03T15:52:13,-04:00,2024-11-03T20:00:00Z,2.3738,-2.0409,60,OFFSET_DST_ERROR
DHG-000189,2024-11-03T20:17:52Z,2024-11-03T16:17:52,-04:00,2024-11-03T20:00:00Z,-1.7468,-1.8252,60,OFFSET_DST_ERROR
DHG-000190,2024-11-03T19:36:00Z,2024-11-03T15:36:00,-04:00,2024-11-03T20:00:00Z,0.3232,-0.355,60,OFFSET_DST_ERROR
DHG-000191,2024-11-03T20:06:44Z,2024-11-03T16:06:44,-04:00,2024-11-03T20:00:00Z,1.8818,-0.1666,60,OFFSET_DST_ERROR
DHG-000192,2024-11-03T20:11:05Z,2024-11-03T16:11:05,-04:00,2024-11-03T20:00:00Z,1.5413,0.4699,60,OFFSET_DST_ERROR
DHG-000193,2024-11-03T20:11:27Z,2024-11-03T16:11:27,-04:00,2024-11-03T20:00:00Z,0.3092,-1.9886,60,OFFSET_DST_ERROR
DHG-000194,2024-11-03T19:38:39Z,2024-11-03T15:38:39,-04:00,2024-11-03T20:00:00Z,-1.043,-1.142,60,OFFSET_DST_ERROR
DHG-000195,2024-11-03T20:29:37Z,2024-11-03T16:29:37,-04:00,2024-11-03T20:00:00Z,0.4639,0.8653,60,OFFSET_DST_ERROR
DHG-000196,2024-11-03T20:29:01Z,2024-11-03T16:29:01,-04:00,2024-11-03T20:00:00Z,-0.1047,-2.4439,60,OFFSET_DST_ERROR
DHG-000197,2024-11-03T20:01:52Z,2024-11-03T16:01:52,-04:00,2024-11-03T20:00:00Z,2.405,1.3186,60,OFFSET_DST_ERROR
DHG-000198,2024-11-03T20:19:51Z,2024-11-03T16:19:51,-04:00,2024-11-03T20:00:00Z,-0.8324,-2.2294,60,OFFSET_DST_ERROR
DHG-000199,2024-11-03T20:18:21Z,2024-11-03T16:18:21,-04:00,2024-11-03T20:00:00Z,0.5401,2.2693,60,OFFSET_DST_ERROR
DHG-000200,2024-11-03T19:53:07Z,2024-11-03T15:53:07,-04:00,2024-11-03T20:00:00Z,0.8189,-0.5751,60,OFFSET_DST_ERROR
