return_id,order_id,request_date,resolution_date,type,amount_usd,reason,approved_by,status
RET-94336,NW-2026-02-K466,2026-03-04,2026-04-09,repair,322.01,unauthorized,supervisor_01,escalated
RET-15535,NW-2026-04-D817,2026-04-14,2026-04-16,repair,333.66,damaged,supervisor_01,escalated
RET-49685,NW-2026-04-J823,2026-03-02,2026-03-07,repair,285.73,wrong_item,agent_001,denied
RET-44596,NW-2026-02-D790,2026-02-03,2026-03-03,repair,114.28,never_received,supervisor_01,approved
RET-67865,NW-2026-02-I816,2026-04-04,2026-02-11,refund,273.11,damaged,agent_001,denied
RET-50361,NW-2026-03-J955,2026-03-07,2026-02-25,store_credit,11.92,unauthorized,agent_001,escalated
RET-90492,NW-2026-04-C747,2026-04-28,2026-04-02,repair,16.54,damaged,agent_001,approved
RET-16720,NW-2026-02-J960,2026-02-04,2026-03-10,repair,380.15,not_as_described,agent_001,denied
RET-77504,NW-2026-02-E788,2026-03-20,2026-04-01,replacement,77.75,wrong_item,supervisor_01,denied
RET-38183,NW-2026-02-K617,2026-02-12,2026-04-11,store_credit,60.76,damaged,agent_003,pending
RET-79553,NW-2026-03-G677,2026-03-24,2026-02-20,repair,214.24,unauthorized,supervisor_01,approved
RET-38812,NW-2026-03-C247,2026-03-20,2026-03-14,repair,163.21,damaged,agent_003,escalated
RET-27131,NW-2026-04-A223,2026-03-04,2026-03-01,replacement,193.50,wrong_item,agent_002,escalated
RET-47909,NW-2026-02-E951,2026-03-17,2026-04-03,refund,75.93,damaged,supervisor_01,denied
RET-63590,NW-2026-03-I543,2026-02-16,2026-03-03,store_credit,394.58,never_received,agent_001,escalated
RET-17041,NW-2026-03-B598,2026-02-21,2026-02-24,repair,35.66,never_received,agent_002,approved
RET-98400,NW-2026-03-J917,2026-03-05,2026-02-15,replacement,322.52,not_as_described,agent_002,denied
RET-21522,NW-2026-03-G286,2026-03-22,2026-03-08,store_credit,58.99,damaged,supervisor_01,approved
RET-39032,NW-2026-04-I421,2026-03-17,2026-03-22,refund,274.47,damaged,supervisor_01,denied
RET-95142,NW-2026-02-J127,2026-02-13,2026-04-21,store_credit,51.29,not_as_described,agent_001,approved
RET-91907,NW-2026-02-B583,2026-03-13,2026-04-27,replacement,238.50,never_received,agent_003,denied
RET-51657,NW-2026-02-A869,2026-04-26,2026-02-23,replacement,358.11,damaged,agent_001,approved
RET-47132,NW-2026-03-A681,2026-03-06,2026-03-28,repair,88.99,unauthorized,supervisor_01,denied
RET-82853,NW-2026-02-G964,2026-03-07,2026-02-03,store_credit,342.23,unauthorized,agent_001,approved
RET-31810,NW-2026-04-D495,2026-03-04,2026-04-11,refund,97.37,never_received,agent_001,escalated
RET-51406,NW-2026-02-H619,2026-03-17,2026-04-22,repair,74.57,unauthorized,supervisor_01,pending
RET-49090,NW-2026-04-B426,2026-04-02,2026-03-11,refund,382.35,unauthorized,agent_002,pending
RET-28289,NW-2026-04-H212,2026-03-03,2026-03-01,refund,361.83,unauthorized,agent_003,approved
RET-33157,NW-2026-03-E764,2026-03-14,2026-04-28,refund,159.73,unauthorized,supervisor_01,approved
RET-47813,NW-2026-03-F996,2026-03-13,2026-04-04,refund,208.74,not_as_described,agent_001,denied
RET-70942,NW-2026-03-I593,2026-03-18,2026-04-08,replacement,384.45,wrong_item,supervisor_01,pending
RET-55698,NW-2026-03-C552,2026-02-01,2026-03-11,repair,104.64,wrong_item,agent_002,pending
RET-21747,NW-2026-02-C255,2026-02-07,2026-04-18,refund,304.58,damaged,agent_002,pending
RET-20512,NW-2026-04-F792,2026-04-22,2026-03-04,store_credit,192.51,wrong_item,supervisor_01,approved
RET-36347,NW-2026-03-F507,2026-04-16,2026-04-16,replacement,284.77,not_as_described,agent_001,pending
RET-20537,NW-2026-03-I682,2026-02-26,2026-02-18,refund,262.52,never_received,supervisor_01,pending
RET-45336,NW-2026-03-B330,2026-04-27,2026-04-01,replacement,131.30,not_as_described,agent_003,escalated
RET-79271,NW-2026-02-C545,2026-04-21,2026-02-27,repair,328.89,wrong_item,supervisor_01,pending
RET-47323,NW-2026-02-B188,2026-03-17,2026-03-18,refund,362.22,wrong_item,agent_002,escalated
RET-85869,NW-2026-02-G456,2026-03-02,2026-04-08,store_credit,371.87,unauthorized,agent_002,escalated
RET-98403,NW-2026-03-B253,2026-03-02,2026-03-24,store_credit,304.73,unauthorized,agent_002,approved
RET-74235,NW-2026-02-K402,2026-02-26,2026-04-27,refund,50.78,unauthorized,supervisor_01,escalated
RET-77403,NW-2026-02-E402,2026-04-06,2026-03-05,store_credit,234.99,wrong_item,agent_003,approved
RET-84601,NW-2026-02-E990,2026-03-13,2026-03-07,repair,255.97,damaged,supervisor_01,approved
RET-43686,NW-2026-02-B211,2026-03-16,2026-04-22,store_credit,133.34,damaged,agent_001,approved
RET-13127,NW-2026-04-F536,2026-04-06,2026-04-24,repair,289.01,damaged,agent_003,pending
RET-58203,NW-2026-04-H568,2026-02-25,2026-03-02,refund,68.91,not_as_described,agent_002,denied
RET-78973,NW-2026-02-H764,2026-04-17,2026-04-14,refund,346.13,unauthorized,agent_003,pending
RET-35958,NW-2026-02-I173,2026-04-02,2026-04-05,store_credit,122.61,damaged,supervisor_01,denied
RET-37953,NW-2026-04-A223,2026-04-11,2026-03-07,replacement,50.50,never_received,agent_003,denied
RET-71256,NW-2026-02-I617,2026-03-26,2026-02-13,replacement,292.96,wrong_item,agent_002,pending
RET-37340,NW-2026-04-J960,2026-03-05,2026-03-09,store_credit,163.13,not_as_described,agent_002,pending
RET-75634,NW-2026-03-J649,2026-02-09,2026-03-14,repair,94.68,never_received,agent_003,pending
RET-58357,NW-2026-03-I685,2026-04-02,2026-03-19,store_credit,22.70,not_as_described,supervisor_01,approved
RET-82100,NW-2026-02-A465,2026-04-17,2026-02-16,replacement,31.77,unauthorized,agent_003,approved
RET-71458,NW-2026-02-J641,2026-03-11,2026-02-17,replacement,393.23,never_received,agent_001,denied
RET-82726,NW-2026-03-G720,2026-04-11,2026-04-11,repair,382.18,unauthorized,agent_003,approved
RET-81385,NW-2026-04-G367,2026-04-25,2026-04-28,replacement,399.05,damaged,agent_001,approved
RET-11772,NW-2026-03-H392,2026-02-18,2026-04-08,refund,86.02,damaged,agent_002,pending
RET-79506,NW-2026-03-J168,2026-03-07,2026-04-26,store_credit,368.59,never_received,supervisor_01,approved
RET-38932,NW-2026-03-C244,2026-03-07,2026-02-13,repair,342.63,damaged,agent_001,escalated
RET-75164,NW-2026-02-H712,2026-04-13,2026-04-10,store_credit,309.45,unauthorized,supervisor_01,denied
RET-66231,NW-2026-02-C113,2026-04-23,2026-04-18,repair,175.01,unauthorized,agent_002,approved
RET-60726,NW-2026-04-J189,2026-04-24,2026-02-02,replacement,248.05,wrong_item,agent_003,escalated
RET-26626,NW-2026-03-K242,2026-04-12,2026-04-04,store_credit,176.41,wrong_item,supervisor_01,approved
RET-65454,NW-2026-03-E627,2026-04-07,2026-02-10,store_credit,154.56,damaged,agent_003,approved
RET-33806,NW-2026-03-G151,2026-03-18,2026-03-15,refund,309.31,wrong_item,agent_003,approved
RET-48404,NW-2026-04-D556,2026-04-19,2026-02-12,replacement,328.47,wrong_item,agent_001,approved
RET-78209,NW-2026-02-K858,2026-04-06,2026-02-09,repair,374.22,damaged,agent_003,pending
RET-60515,NW-2026-02-B983,2026-04-15,2026-04-13,repair,359.98,wrong_item,agent_002,escalated
RET-68946,NW-2026-04-K299,2026-02-28,2026-02-17,refund,122.30,never_received,supervisor_01,approved
RET-19920,NW-2026-03-D301,2026-03-18,2026-03-28,repair,362.88,not_as_described,agent_002,approved
RET-16141,NW-2026-03-E389,2026-02-24,2026-03-22,refund,253.69,unauthorized,supervisor_01,approved
RET-51187,NW-2026-04-J991,2026-02-11,2026-04-09,store_credit,223.25,damaged,agent_001,denied
RET-78761,NW-2026-02-I735,2026-02-11,2026-02-15,repair,242.98,never_received,agent_002,denied
RET-68028,NW-2026-02-H262,2026-02-04,2026-03-07,replacement,94.27,unauthorized,agent_001,approved
RET-83837,NW-2026-04-G205,2026-04-26,2026-02-19,replacement,208.43,wrong_item,agent_002,pending
RET-35580,NW-2026-02-I576,2026-02-08,2026-04-20,store_credit,342.97,damaged,agent_001,approved
RET-43567,NW-2026-02-A549,2026-02-03,2026-02-17,refund,203.03,not_as_described,agent_002,denied
RET-19100,NW-2026-03-F975,2026-04-17,2026-03-11,store_credit,179.84,never_received,supervisor_01,pending
RET-70504,NW-2026-02-A951,2026-03-14,2026-02-04,replacement,218.61,wrong_item,agent_001,pending
RET-82675,NW-2026-02-H880,2026-02-02,2026-03-05,replacement,110.53,not_as_described,agent_003,denied
RET-69257,NW-2026-02-D529,2026-02-25,2026-04-01,store_credit,93.99,not_as_described,supervisor_01,escalated
RET-85276,NW-2026-02-D636,2026-03-12,2026-04-02,store_credit,43.40,not_as_described,supervisor_01,pending
RET-85112,NW-2026-03-A475,2026-03-26,2026-03-07,refund,328.69,damaged,agent_002,escalated
RET-25564,NW-2026-04-A167,2026-03-25,2026-02-16,replacement,243.80,not_as_described,agent_002,denied
RET-69710,NW-2026-02-F271,2026-02-14,2026-02-01,repair,256.72,not_as_described,agent_002,pending
RET-69808,NW-2026-03-H997,2026-03-12,2026-03-10,store_credit,302.73,not_as_described,agent_003,denied
RET-41519,NW-2026-03-G129,2026-03-04,2026-03-26,refund,30.51,never_received,agent_002,approved
RET-67087,NW-2026-03-H945,2026-02-09,2026-02-07,replacement,309.74,wrong_item,agent_001,denied
RET-71353,NW-2026-04-D985,2026-03-10,2026-03-02,store_credit,180.86,wrong_item,agent_003,approved
RET-65487,NW-2026-03-D591,2026-02-04,2026-02-04,repair,61.92,not_as_described,agent_001,approved
RET-71159,NW-2026-02-G259,2026-04-06,2026-02-25,refund,235.73,unauthorized,agent_003,approved
RET-82742,NW-2026-03-F336,2026-02-13,2026-03-17,store_credit,281.55,never_received,agent_001,pending
RET-48482,NW-2026-02-C613,2026-03-25,2026-02-18,store_credit,64.76,wrong_item,agent_002,pending
RET-80356,NW-2026-02-J752,2026-04-18,2026-02-10,repair,312.16,never_received,agent_003,approved
RET-90234,NW-2026-03-D367,2026-02-13,2026-02-28,replacement,222.82,not_as_described,agent_001,pending
RET-99290,NW-2026-02-D515,2026-02-25,2026-03-21,store_credit,21.95,damaged,supervisor_01,escalated
RET-80324,NW-2026-02-H332,2026-04-03,2026-02-18,replacement,360.74,not_as_described,supervisor_01,denied
RET-48873,NW-2026-04-C718,2026-02-19,2026-04-15,store_credit,283.73,unauthorized,agent_001,pending
RET-32265,NW-2026-03-D604,2026-02-25,2026-03-11,replacement,61.67,never_received,supervisor_01,escalated
RET-72652,NW-2026-03-C856,2026-02-03,2026-03-20,repair,240.56,damaged,agent_001,escalated
RET-14440,NW-2026-02-C627,2026-03-01,2026-04-27,replacement,362.06,not_as_described,agent_003,escalated
RET-40018,NW-2026-02-J355,2026-02-07,2026-02-02,replacement,295.29,never_received,supervisor_01,pending
RET-12039,NW-2026-03-I365,2026-03-21,2026-02-27,replacement,26.29,unauthorized,agent_003,denied
RET-88805,NW-2026-03-B522,2026-02-22,2026-04-17,replacement,354.89,not_as_described,supervisor_01,pending
RET-41517,NW-2026-04-F733,2026-04-10,2026-03-24,store_credit,212.57,never_received,agent_001,denied
RET-49169,NW-2026-03-B592,2026-04-05,2026-03-09,refund,215.08,wrong_item,agent_001,escalated
RET-17784,NW-2026-04-C193,2026-02-28,2026-02-12,refund,209.31,damaged,supervisor_01,pending
RET-52539,NW-2026-04-K352,2026-02-10,2026-03-02,store_credit,263.34,never_received,agent_003,approved
RET-77357,NW-2026-04-I484,2026-02-20,2026-03-11,repair,299.92,never_received,agent_001,escalated
RET-44424,NW-2026-02-B351,2026-03-07,2026-03-07,store_credit,89.70,wrong_item,agent_002,escalated
RET-36609,NW-2026-02-H409,2026-04-14,2026-03-14,replacement,155.42,damaged,agent_002,approved
RET-96366,NW-2026-02-B187,2026-03-14,2026-04-25,store_credit,156.60,not_as_described,agent_001,escalated
RET-15317,NW-2026-03-H791,2026-03-11,2026-03-25,store_credit,28.34,not_as_described,supervisor_01,approved
RET-82974,NW-2026-02-A253,2026-04-13,2026-04-26,store_credit,27.19,damaged,agent_003,approved
RET-44455,NW-2026-03-I882,2026-03-14,2026-03-27,store_credit,300.13,not_as_described,supervisor_01,escalated
RET-37369,NW-2026-04-F970,2026-02-17,2026-02-12,repair,103.98,wrong_item,agent_003,approved
RET-22946,NW-2026-03-F825,2026-03-27,2026-03-27,store_credit,52.69,damaged,agent_003,approved
RET-24409,NW-2026-03-C556,2026-04-16,2026-04-26,replacement,270.83,wrong_item,agent_003,denied
RET-58566,NW-2026-03-H250,2026-02-15,2026-04-28,refund,353.74,never_received,agent_001,denied
RET-51105,NW-2026-02-A783,2026-04-06,2026-03-04,repair,13.21,damaged,agent_003,escalated
RET-89326,NW-2026-02-F125,2026-04-12,2026-03-01,refund,28.06,not_as_described,agent_002,escalated
RET-42496,NW-2026-02-H571,2026-03-04,2026-03-24,replacement,389.06,not_as_described,agent_002,escalated
RET-11061,NW-2026-03-A451,2026-04-01,2026-04-21,repair,112.94,not_as_described,agent_003,denied
RET-60394,NW-2026-02-J167,2026-03-22,2026-02-13,repair,294.80,never_received,agent_003,escalated
RET-48361,NW-2026-02-I319,2026-02-05,2026-04-03,replacement,309.19,unauthorized,supervisor_01,pending
RET-33717,NW-2026-04-A143,2026-03-25,2026-04-23,repair,143.03,damaged,agent_002,denied
RET-64850,NW-2026-04-A108,2026-02-22,2026-02-20,replacement,148.62,unauthorized,agent_001,escalated
RET-25248,NW-2026-02-I752,2026-02-03,2026-04-26,repair,324.51,never_received,agent_001,denied
RET-70602,NW-2026-03-G772,2026-03-19,2026-03-19,store_credit,383.92,not_as_described,agent_001,pending
RET-45432,NW-2026-04-D153,2026-03-09,2026-04-25,repair,191.36,damaged,agent_001,escalated
RET-25809,NW-2026-04-D403,2026-03-21,2026-03-04,store_credit,53.32,damaged,agent_001,approved
RET-69977,NW-2026-03-C283,2026-04-06,2026-04-25,store_credit,221.67,unauthorized,supervisor_01,approved
RET-82683,NW-2026-03-I432,2026-03-15,2026-02-24,replacement,371.84,damaged,agent_003,approved
RET-40994,NW-2026-03-J473,2026-03-22,2026-04-13,refund,187.70,not_as_described,agent_003,escalated
