ticker,company_name,sector,listing_status,delisted_date,notes
NQK,Alpha Ltd,Industrials,ACTIVE,,active constituent
PMAQ,Omega Group,Materials,DELISTED,2022-10-25,delisted — excluded from revised universe
QENP,Omega Inc,Communication Services,ACTIVE,,active constituent
QI,Omega Holdings,Financials,ACTIVE,,active constituent
EMEC,Omega Holdings,Materials,ACTIVE,,active constituent
FUZ,Beta Group,Technology,ACTIVE,,active constituent
NYU,Alpha Inc,Real Estate,ACTIVE,,active constituent
CHNY,Beta Corp,Materials,ACTIVE,,active constituent
CTGV,Delta Corp,Communication Services,ACTIVE,,active constituent
GGPZ,Delta Inc,Consumer Discretionary,ACTIVE,,active constituent
JUP,Delta Group,Healthcare,ACTIVE,,active constituent
HQLL,Gamma Corp,Technology,DELISTED,2019-01-20,delisted — excluded from revised universe
NV,Delta Group,Communication Services,ACTIVE,,active constituent
LGME,Omega Inc,Technology,ACTIVE,,active constituent
FAU,Omega Corp,Healthcare,ACTIVE,,active constituent
CQYP,Alpha Inc,Energy,ACTIVE,,active constituent
KT,Gamma Holdings,Financials,DELISTED,2018-09-07,delisted — excluded from revised universe
SWT,Beta Group,Technology,ACTIVE,,active constituent
CM,Beta Corp,Energy,ACTIVE,,active constituent
JUXU,Delta Ltd,Technology,ACTIVE,,active constituent
BRY,Delta Corp,Communication Services,DELISTED,2019-01-27,delisted — excluded from revised universe
HBFC,Alpha Inc,Energy,ACTIVE,,active constituent
ME,Alpha Group,Industrials,ACTIVE,,active constituent
FJ,Gamma Holdings,Industrials,ACTIVE,,active constituent
BWAP,Omega Corp,Real Estate,ACTIVE,,active constituent
JY,Gamma Group,Real Estate,ACTIVE,,active constituent
PH,Gamma Corp,Utilities,ACTIVE,,active constituent
MV,Alpha Group,Healthcare,ACTIVE,,active constituent
IXK,Gamma Corp,Financials,ACTIVE,,active constituent
KE,Omega Inc,Consumer Discretionary,ACTIVE,,active constituent
ILE,Delta Corp,Utilities,ACTIVE,,active constituent
YZDZ,Gamma Corp,Industrials,ACTIVE,,active constituent
ITTV,Alpha Group,Communication Services,ACTIVE,,active constituent
FYT,Omega Corp,Technology,ACTIVE,,active constituent
ZWNK,Beta Corp,Healthcare,DELISTED,2022-01-23,delisted — excluded from revised universe
UYZ,Beta Inc,Industrials,ACTIVE,,active constituent
PJYP,Beta Corp,Consumer Discretionary,ACTIVE,,active constituent
AMCU,Delta Holdings,Financials,DELISTED,2019-10-20,delisted — excluded from revised universe
IXVZ,Omega Inc,Real Estate,ACTIVE,,active constituent
DFB,Gamma Group,Communication Services,ACTIVE,,active constituent
UTHD,Delta Holdings,Technology,ACTIVE,,active constituent
LU,Gamma Holdings,Utilities,ACTIVE,,active constituent
COEG,Delta Holdings,Energy,ACTIVE,,active constituent
DT,Beta Inc,Materials,ACTIVE,,active constituent
GA,Delta Inc,Communication Services,ACTIVE,,active constituent
DXOF,Delta Corp,Healthcare,ACTIVE,,active constituent
KTD,Omega Corp,Consumer Discretionary,ACTIVE,,active constituent
VAAR,Beta Inc,Real Estate,ACTIVE,,active constituent
WJS,Gamma Group,Technology,ACTIVE,,active constituent
XM,Gamma Holdings,Utilities,ACTIVE,,active constituent
ED,Gamma Corp,Energy,DELISTED,2022-02-15,delisted — excluded from revised universe
OHG,Gamma Inc,Financials,ACTIVE,,active constituent
QFS,Gamma Inc,Communication Services,ACTIVE,,active constituent
EVH,Omega Group,Materials,ACTIVE,,active constituent
PZSU,Omega Holdings,Utilities,ACTIVE,,active constituent
LMX,Beta Inc,Materials,ACTIVE,,active constituent
WV,Gamma Corp,Healthcare,ACTIVE,,active constituent
UZ,Delta Group,Consumer Discretionary,ACTIVE,,active constituent
TSTW,Alpha Group,Financials,ACTIVE,,active constituent
QL,Beta Inc,Energy,ACTIVE,,active constituent
OW,Beta Ltd,Energy,ACTIVE,,active constituent
OC,Omega Holdings,Utilities,ACTIVE,,active constituent
TDI,Delta Inc,Industrials,ACTIVE,,active constituent
AUY,Omega Corp,Materials,ACTIVE,,active constituent
VS,Alpha Ltd,Technology,ACTIVE,,active constituent
UTZ,Alpha Group,Healthcare,DELISTED,2018-11-15,delisted — excluded from revised universe
LD,Omega Ltd,Communication Services,ACTIVE,,active constituent
SRH,Beta Inc,Real Estate,ACTIVE,,active constituent
KYFK,Delta Corp,Technology,ACTIVE,,active constituent
CYK,Omega Group,Healthcare,ACTIVE,,active constituent
OU,Omega Ltd,Energy,ACTIVE,,active constituent
UPZ,Delta Inc,Financials,ACTIVE,,active constituent
OFV,Gamma Holdings,Real Estate,DELISTED,2018-06-10,delisted — excluded from revised universe
UXJJ,Beta Inc,Real Estate,ACTIVE,,active constituent
VFPV,Gamma Inc,Financials,DELISTED,2020-01-13,delisted — excluded from revised universe
IRZR,Omega Inc,Energy,ACTIVE,,active constituent
JEUK,Gamma Corp,Financials,ACTIVE,,active constituent
JEBG,Gamma Inc,Industrials,DELISTED,2020-03-28,delisted — excluded from revised universe
YSH,Alpha Inc,Industrials,ACTIVE,,active constituent
LG,Delta Inc,Energy,ACTIVE,,active constituent
TKJ,Alpha Corp,Materials,ACTIVE,,active constituent
IZ,Omega Corp,Industrials,ACTIVE,,active constituent
SOK,Omega Group,Utilities,ACTIVE,,active constituent
EE,Gamma Corp,Real Estate,ACTIVE,,active constituent
DMG,Beta Corp,Consumer Discretionary,ACTIVE,,active constituent
WXH,Beta Corp,Financials,ACTIVE,,active constituent
MRCX,Beta Corp,Healthcare,DELISTED,2018-01-22,delisted — excluded from revised universe
IGF,Beta Ltd,Industrials,ACTIVE,,active constituent
UU,Delta Ltd,Energy,ACTIVE,,active constituent
MA,Gamma Ltd,Materials,ACTIVE,,active constituent
BMAY,Gamma Corp,Materials,DELISTED,2018-09-27,delisted — excluded from revised universe
ER,Gamma Corp,Healthcare,ACTIVE,,active constituent
ZCI,Delta Ltd,Materials,ACTIVE,,active constituent
CV,Alpha Corp,Consumer Discretionary,ACTIVE,,active constituent
PNM,Beta Group,Energy,ACTIVE,,active constituent
QBVJ,Alpha Ltd,Industrials,ACTIVE,,active constituent
XU,Alpha Group,Consumer Discretionary,ACTIVE,,active constituent
FU,Omega Group,Industrials,ACTIVE,,active constituent
RPJ,Alpha Corp,Materials,ACTIVE,,active constituent
BB,Alpha Ltd,Financials,ACTIVE,,active constituent
RN,Beta Corp,Healthcare,DELISTED,2021-11-27,delisted — excluded from revised universe
DUO,Omega Holdings,Materials,ACTIVE,,active constituent
FVT,Gamma Group,Real Estate,ACTIVE,,active constituent
YB,Gamma Ltd,Communication Services,ACTIVE,,active constituent
FY,Gamma Inc,Financials,ACTIVE,,active constituent
NES,Delta Inc,Healthcare,ACTIVE,,active constituent
QCB,Omega Corp,Utilities,ACTIVE,,active constituent
MFG,Omega Inc,Consumer Discretionary,ACTIVE,,active constituent
KBKL,Gamma Group,Materials,ACTIVE,,active constituent
UZA,Beta Group,Real Estate,DELISTED,2022-04-27,delisted — excluded from revised universe
JBE,Delta Ltd,Utilities,ACTIVE,,active constituent
KAV,Gamma Corp,Healthcare,DELISTED,2018-11-07,delisted — excluded from revised universe
OVSG,Alpha Corp,Utilities,ACTIVE,,active constituent
WU,Gamma Inc,Utilities,ACTIVE,,active constituent
PEO,Beta Holdings,Financials,ACTIVE,,active constituent
ALDG,Delta Group,Consumer Discretionary,DELISTED,2018-05-25,delisted — excluded from revised universe
UHXO,Beta Inc,Communication Services,DELISTED,2018-06-08,delisted — excluded from revised universe
EDYH,Alpha Ltd,Technology,ACTIVE,,active constituent
RFYD,Beta Inc,Financials,DELISTED,2022-01-18,delisted — excluded from revised universe
QA,Alpha Holdings,Communication Services,ACTIVE,,active constituent
SLQO,Delta Ltd,Real Estate,ACTIVE,,active constituent
VM,Omega Holdings,Materials,ACTIVE,,active constituent
ZSU,Gamma Holdings,Materials,ACTIVE,,active constituent
NT,Delta Corp,Real Estate,ACTIVE,,active constituent
HYGE,Delta Ltd,Financials,ACTIVE,,active constituent
BXH,Gamma Inc,Financials,DELISTED,2018-11-16,delisted — excluded from revised universe
SIJ,Omega Corp,Real Estate,ACTIVE,,active constituent
DKYB,Gamma Ltd,Energy,ACTIVE,,active constituent
QAPC,Delta Corp,Technology,ACTIVE,,active constituent
POCM,Gamma Group,Real Estate,DELISTED,2020-05-24,delisted — excluded from revised universe
RNX,Omega Holdings,Real Estate,DELISTED,2020-05-17,delisted — excluded from revised universe
VX,Gamma Group,Consumer Discretionary,ACTIVE,,active constituent
DAOH,Gamma Holdings,Materials,ACTIVE,,active constituent
NEGR,Alpha Holdings,Industrials,ACTIVE,,active constituent
AOW,Delta Inc,Communication Services,ACTIVE,,active constituent
PL,Omega Group,Industrials,ACTIVE,,active constituent
EAX,Omega Group,Energy,ACTIVE,,active constituent
OK,Omega Group,Utilities,ACTIVE,,active constituent
XDRB,Alpha Group,Communication Services,DELISTED,2022-08-15,delisted — excluded from revised universe
FVL,Omega Group,Energy,ACTIVE,,active constituent
QAF,Gamma Group,Energy,DELISTED,2022-06-24,delisted — excluded from revised universe
EKQ,Omega Inc,Industrials,ACTIVE,,active constituent
MJT,Delta Group,Communication Services,DELISTED,2018-03-09,delisted — excluded from revised universe
FTL,Omega Holdings,Communication Services,ACTIVE,,active constituent
AP,Delta Corp,Technology,ACTIVE,,active constituent
ND,Gamma Holdings,Utilities,DELISTED,2018-03-19,delisted — excluded from revised universe
OWUW,Alpha Group,Utilities,ACTIVE,,active constituent
ZB,Delta Corp,Healthcare,DELISTED,2019-09-27,delisted — excluded from revised universe
GOD,Delta Holdings,Utilities,DELISTED,2020-12-11,delisted — excluded from revised universe
DL,Gamma Inc,Consumer Discretionary,DELISTED,2018-07-16,delisted — excluded from revised universe
BHI,Alpha Holdings,Technology,ACTIVE,,active constituent
JYYM,Omega Inc,Industrials,ACTIVE,,active constituent
OAST,Alpha Group,Industrials,ACTIVE,,active constituent
SXXQ,Gamma Corp,Real Estate,ACTIVE,,active constituent
XGA,Omega Group,Technology,ACTIVE,,active constituent
AYD,Beta Group,Consumer Discretionary,ACTIVE,,active constituent
GJHU,Delta Ltd,Energy,DELISTED,2022-08-15,delisted — excluded from revised universe
BWTE,Omega Holdings,Financials,ACTIVE,,active constituent
JM,Beta Group,Financials,DELISTED,2020-06-22,delisted — excluded from revised universe
SHO,Omega Corp,Healthcare,ACTIVE,,active constituent
VY,Omega Ltd,Utilities,ACTIVE,,active constituent
OLTA,Omega Holdings,Financials,ACTIVE,,active constituent
QBQ,Alpha Inc,Technology,ACTIVE,,active constituent
WTDQ,Alpha Holdings,Technology,DELISTED,2022-01-20,delisted — excluded from revised universe
SVE,Beta Ltd,Communication Services,ACTIVE,,active constituent
IBVC,Beta Corp,Real Estate,ACTIVE,,active constituent
OVVG,Gamma Group,Technology,ACTIVE,,active constituent
PJCW,Beta Ltd,Energy,ACTIVE,,active constituent
VK,Alpha Holdings,Technology,ACTIVE,,active constituent
TSAA,Delta Holdings,Consumer Discretionary,ACTIVE,,active constituent
VA,Delta Ltd,Communication Services,ACTIVE,,active constituent
DJG,Beta Holdings,Financials,ACTIVE,,active constituent
WL,Beta Group,Materials,ACTIVE,,active constituent
GOTT,Alpha Corp,Materials,DELISTED,2019-03-04,delisted — excluded from revised universe
MMFT,Beta Ltd,Real Estate,ACTIVE,,active constituent
UANP,Gamma Corp,Consumer Discretionary,ACTIVE,,active constituent
LMO,Gamma Inc,Materials,ACTIVE,,active constituent
XAFJ,Omega Ltd,Consumer Discretionary,DELISTED,2018-01-25,delisted — excluded from revised universe
XMH,Omega Holdings,Utilities,ACTIVE,,active constituent
NHRY,Omega Inc,Energy,ACTIVE,,active constituent
DFO,Delta Group,Industrials,DELISTED,2022-05-07,delisted — excluded from revised universe
LF,Gamma Group,Healthcare,ACTIVE,,active constituent
VQOE,Beta Inc,Healthcare,ACTIVE,,active constituent
XQXR,Beta Holdings,Financials,ACTIVE,,active constituent
MMO,Delta Ltd,Utilities,ACTIVE,,active constituent
SASM,Alpha Corp,Financials,ACTIVE,,active constituent
SDA,Beta Corp,Utilities,ACTIVE,,active constituent
VJC,Alpha Inc,Financials,ACTIVE,,active constituent
ZY,Delta Inc,Utilities,ACTIVE,,active constituent
RNG,Beta Group,Communication Services,ACTIVE,,active constituent
CG,Delta Holdings,Utilities,DELISTED,2019-12-22,delisted — excluded from revised universe
IHTA,Alpha Inc,Technology,ACTIVE,,active constituent
EYC,Beta Holdings,Consumer Discretionary,ACTIVE,,active constituent
GJNK,Gamma Ltd,Utilities,ACTIVE,,active constituent
OJXD,Gamma Corp,Financials,ACTIVE,,active constituent
HGMP,Omega Ltd,Technology,ACTIVE,,active constituent
QON,Omega Corp,Real Estate,ACTIVE,,active constituent
VFAG,Alpha Inc,Financials,ACTIVE,,active constituent
WI,Alpha Ltd,Consumer Discretionary,ACTIVE,,active constituent
VGQ,Delta Corp,Financials,ACTIVE,,active constituent
ZKK,Alpha Inc,Financials,ACTIVE,,active constituent
WH,Beta Ltd,Technology,ACTIVE,,active constituent
ARLH,Beta Holdings,Materials,ACTIVE,,active constituent
UIR,Gamma Inc,Industrials,DELISTED,2018-11-21,delisted — excluded from revised universe
OD,Gamma Group,Materials,DELISTED,2018-02-06,delisted — excluded from revised universe
XLC,Delta Ltd,Industrials,ACTIVE,,active constituent
KTZ,Gamma Ltd,Energy,ACTIVE,,active constituent
ZEF,Alpha Inc,Technology,ACTIVE,,active constituent
BLUT,Omega Group,Financials,ACTIVE,,active constituent
KO,Omega Group,Real Estate,ACTIVE,,active constituent
XEL,Delta Group,Financials,ACTIVE,,active constituent
OI,Alpha Holdings,Energy,ACTIVE,,active constituent
LR,Gamma Holdings,Real Estate,ACTIVE,,active constituent
OGH,Beta Inc,Technology,ACTIVE,,active constituent
VFKX,Alpha Holdings,Industrials,ACTIVE,,active constituent
TGD,Gamma Group,Communication Services,ACTIVE,,active constituent
RMCC,Alpha Group,Consumer Discretionary,ACTIVE,,active constituent
ACO,Beta Inc,Industrials,ACTIVE,,active constituent
VHLH,Delta Holdings,Healthcare,ACTIVE,,active constituent
VR,Beta Inc,Utilities,DELISTED,2018-11-04,delisted — excluded from revised universe
PEG,Beta Ltd,Energy,ACTIVE,,active constituent
TP,Gamma Corp,Real Estate,ACTIVE,,active constituent
ZHGZ,Beta Inc,Healthcare,DELISTED,2018-12-15,delisted — excluded from revised universe
ZE,Alpha Ltd,Healthcare,ACTIVE,,active constituent
VB,Alpha Corp,Healthcare,ACTIVE,,active constituent
XYGJ,Gamma Group,Industrials,ACTIVE,,active constituent
EM,Delta Corp,Utilities,ACTIVE,,active constituent
TVAT,Delta Holdings,Energy,ACTIVE,,active constituent
GGW,Omega Holdings,Real Estate,ACTIVE,,active constituent
IIFQ,Gamma Corp,Healthcare,ACTIVE,,active constituent
ZXJS,Beta Ltd,Communication Services,ACTIVE,,active constituent
ZG,Delta Ltd,Energy,ACTIVE,,active constituent
FVTU,Alpha Holdings,Energy,ACTIVE,,active constituent
SOD,Gamma Corp,Energy,ACTIVE,,active constituent
GT,Alpha Corp,Utilities,ACTIVE,,active constituent
SZ,Alpha Group,Financials,ACTIVE,,active constituent
XKLF,Gamma Group,Financials,ACTIVE,,active constituent
YGJ,Gamma Holdings,Healthcare,DELISTED,2019-09-13,delisted — excluded from revised universe
LLPE,Gamma Holdings,Industrials,DELISTED,2021-02-24,delisted — excluded from revised universe
ADSX,Delta Holdings,Communication Services,DELISTED,2020-08-02,delisted — excluded from revised universe
CH,Beta Inc,Healthcare,DELISTED,2019-04-10,delisted — excluded from revised universe
UTK,Omega Group,Industrials,ACTIVE,,active constituent
LVJL,Delta Ltd,Industrials,ACTIVE,,active constituent
EGB,Beta Inc,Healthcare,ACTIVE,,active constituent
RHCK,Alpha Holdings,Materials,ACTIVE,,active constituent
NU,Gamma Corp,Materials,ACTIVE,,active constituent
QSGF,Omega Inc,Technology,ACTIVE,,active constituent
PTI,Delta Holdings,Financials,ACTIVE,,active constituent
OKPL,Delta Ltd,Consumer Discretionary,ACTIVE,,active constituent
IBGI,Beta Holdings,Real Estate,ACTIVE,,active constituent
AA,Delta Group,Healthcare,ACTIVE,,active constituent
DMCK,Alpha Group,Materials,ACTIVE,,active constituent
QC,Alpha Ltd,Energy,ACTIVE,,active constituent
PT,Beta Ltd,Materials,ACTIVE,,active constituent
YJ,Beta Group,Materials,DELISTED,2018-07-13,delisted — excluded from revised universe
IND,Beta Holdings,Industrials,ACTIVE,,active constituent
GAN,Alpha Group,Communication Services,ACTIVE,,active constituent
KVYT,Beta Corp,Materials,ACTIVE,,active constituent
LNNL,Gamma Ltd,Consumer Discretionary,ACTIVE,,active constituent
PAQ,Beta Holdings,Healthcare,ACTIVE,,active constituent
WDB,Omega Inc,Real Estate,ACTIVE,,active constituent
XNLU,Alpha Inc,Healthcare,ACTIVE,,active constituent
CUY,Alpha Holdings,Utilities,ACTIVE,,active constituent
AYTU,Alpha Inc,Materials,DELISTED,2019-05-17,delisted — excluded from revised universe
REC,Beta Ltd,Financials,DELISTED,2019-01-13,delisted — excluded from revised universe
EIJI,Delta Corp,Materials,ACTIVE,,active constituent
VOXV,Gamma Inc,Healthcare,ACTIVE,,active constituent
SFW,Beta Group,Materials,ACTIVE,,active constituent
HB,Beta Ltd,Communication Services,ACTIVE,,active constituent
DSGX,Omega Holdings,Energy,DELISTED,2021-07-27,delisted — excluded from revised universe
ODTO,Delta Ltd,Consumer Discretionary,ACTIVE,,active constituent
PMYL,Delta Inc,Financials,ACTIVE,,active constituent
HQ,Alpha Ltd,Industrials,ACTIVE,,active constituent
MZO,Gamma Ltd,Real Estate,ACTIVE,,active constituent
IIK,Gamma Holdings,Utilities,ACTIVE,,active constituent
OX,Alpha Inc,Industrials,ACTIVE,,active constituent
IOVK,Gamma Group,Consumer Discretionary,ACTIVE,,active constituent
YTOO,Beta Holdings,Materials,DELISTED,2019-06-16,delisted — excluded from revised universe
CD,Delta Ltd,Utilities,ACTIVE,,active constituent
HO,Beta Ltd,Financials,ACTIVE,,active constituent
QABF,Omega Corp,Technology,ACTIVE,,active constituent
TZJU,Beta Holdings,Technology,ACTIVE,,active constituent
ENA,Alpha Holdings,Real Estate,ACTIVE,,active constituent
PXA,Delta Inc,Industrials,ACTIVE,,active constituent
NPXU,Omega Inc,Healthcare,ACTIVE,,active constituent
VHX,Beta Corp,Technology,ACTIVE,,active constituent
VTC,Alpha Holdings,Materials,ACTIVE,,active constituent
DM,Delta Holdings,Materials,ACTIVE,,active constituent
CYUP,Delta Inc,Healthcare,DELISTED,2018-11-05,delisted — excluded from revised universe
JP,Beta Group,Industrials,ACTIVE,,active constituent
AI,Alpha Holdings,Real Estate,ACTIVE,,active constituent
CFZR,Gamma Group,Industrials,ACTIVE,,active constituent
ZWGB,Delta Holdings,Utilities,ACTIVE,,active constituent
SFND,Delta Group,Utilities,ACTIVE,,active constituent
GTF,Delta Holdings,Financials,ACTIVE,,active constituent
AXT,Delta Ltd,Consumer Discretionary,ACTIVE,,active constituent
NDIT,Delta Ltd,Financials,ACTIVE,,active constituent
TKG,Alpha Inc,Materials,DELISTED,2020-06-25,delisted — excluded from revised universe
GG,Alpha Inc,Technology,ACTIVE,,active constituent
LHZA,Omega Holdings,Utilities,ACTIVE,,active constituent
YIUT,Alpha Ltd,Real Estate,ACTIVE,,active constituent
IJ,Omega Group,Healthcare,ACTIVE,,active constituent
RTF,Omega Inc,Consumer Discretionary,ACTIVE,,active constituent
WYVK,Gamma Inc,Healthcare,DELISTED,2021-04-10,delisted — excluded from revised universe
XW,Gamma Holdings,Real Estate,ACTIVE,,active constituent
QK,Beta Ltd,Healthcare,ACTIVE,,active constituent
ZDT,Delta Inc,Real Estate,DELISTED,2019-07-16,delisted — excluded from revised universe
JMTI,Alpha Ltd,Materials,ACTIVE,,active constituent
PDFD,Omega Ltd,Communication Services,ACTIVE,,active constituent
TLB,Alpha Ltd,Utilities,ACTIVE,,active constituent
NDMZ,Alpha Ltd,Financials,ACTIVE,,active constituent
KMU,Beta Group,Utilities,ACTIVE,,active constituent
QAQ,Beta Group,Materials,ACTIVE,,active constituent
RWCG,Gamma Corp,Communication Services,ACTIVE,,active constituent
NVFR,Beta Inc,Materials,ACTIVE,,active constituent
ZHAJ,Omega Holdings,Technology,ACTIVE,,active constituent
YHQ,Gamma Inc,Healthcare,ACTIVE,,active constituent
JJBW,Omega Ltd,Materials,ACTIVE,,active constituent
ILG,Alpha Corp,Utilities,DELISTED,2018-06-02,delisted — excluded from revised universe
KHSC,Alpha Holdings,Financials,ACTIVE,,active constituent
SNT,Omega Inc,Communication Services,ACTIVE,,active constituent
YZVC,Gamma Holdings,Consumer Discretionary,DELISTED,2019-03-05,delisted — excluded from revised universe
RK,Beta Inc,Real Estate,ACTIVE,,active constituent
CR,Omega Corp,Healthcare,ACTIVE,,active constituent
NLII,Delta Holdings,Consumer Discretionary,ACTIVE,,active constituent
AAV,Delta Group,Financials,ACTIVE,,active constituent
MIJ,Gamma Group,Communication Services,ACTIVE,,active constituent
IR,Alpha Ltd,Real Estate,ACTIVE,,active constituent
WHG,Alpha Holdings,Industrials,ACTIVE,,active constituent
NCQ,Alpha Ltd,Communication Services,DELISTED,2022-09-06,delisted — excluded from revised universe
TOI,Beta Holdings,Utilities,ACTIVE,,active constituent
NO,Alpha Group,Consumer Discretionary,ACTIVE,,active constituent
RNMI,Beta Group,Technology,ACTIVE,,active constituent
LW,Alpha Holdings,Energy,DELISTED,2020-03-21,delisted — excluded from revised universe
URN,Gamma Holdings,Industrials,ACTIVE,,active constituent
PM,Omega Inc,Consumer Discretionary,ACTIVE,,active constituent
ACB,Beta Group,Utilities,ACTIVE,,active constituent
ZMSQ,Beta Holdings,Real Estate,ACTIVE,,active constituent
NF,Omega Holdings,Utilities,ACTIVE,,active constituent
EWYO,Beta Inc,Technology,ACTIVE,,active constituent
NE,Alpha Group,Consumer Discretionary,DELISTED,2022-03-21,delisted — excluded from revised universe
VPOD,Delta Ltd,Industrials,DELISTED,2022-10-19,delisted — excluded from revised universe
BH,Gamma Holdings,Technology,ACTIVE,,active constituent
LNXC,Delta Group,Technology,ACTIVE,,active constituent
UCG,Gamma Inc,Energy,ACTIVE,,active constituent
NPQU,Gamma Corp,Healthcare,ACTIVE,,active constituent
NQO,Alpha Group,Utilities,ACTIVE,,active constituent
JEA,Gamma Corp,Healthcare,ACTIVE,,active constituent
CJ,Omega Inc,Consumer Discretionary,ACTIVE,,active constituent
HR,Alpha Inc,Industrials,ACTIVE,,active constituent
NASD,Gamma Ltd,Healthcare,ACTIVE,,active constituent
AAM,Omega Ltd,Real Estate,ACTIVE,,active constituent
DGPC,Beta Corp,Industrials,ACTIVE,,active constituent
EU,Delta Ltd,Materials,ACTIVE,,active constituent
PCA,Alpha Inc,Industrials,ACTIVE,,active constituent
XV,Omega Ltd,Real Estate,ACTIVE,,active constituent
GRF,Omega Holdings,Materials,ACTIVE,,active constituent
YACD,Gamma Group,Consumer Discretionary,ACTIVE,,active constituent
MPRA,Beta Corp,Healthcare,DELISTED,2021-07-27,delisted — excluded from revised universe
PF,Gamma Corp,Financials,ACTIVE,,active constituent
QR,Delta Corp,Materials,ACTIVE,,active constituent
EA,Alpha Group,Materials,DELISTED,2021-12-10,delisted — excluded from revised universe
QZV,Omega Ltd,Technology,ACTIVE,,active constituent
SVJK,Gamma Corp,Energy,ACTIVE,,active constituent
PAKB,Delta Inc,Consumer Discretionary,ACTIVE,,active constituent
AYG,Gamma Ltd,Industrials,DELISTED,2021-09-03,delisted — excluded from revised universe
IZJM,Delta Corp,Utilities,ACTIVE,,active constituent
KY,Beta Holdings,Real Estate,ACTIVE,,active constituent
PEJV,Gamma Holdings,Technology,DELISTED,2020-11-05,delisted — excluded from revised universe
MR,Gamma Holdings,Consumer Discretionary,ACTIVE,,active constituent
TBE,Beta Corp,Financials,ACTIVE,,active constituent
ZC,Alpha Inc,Energy,ACTIVE,,active constituent
KIT,Gamma Holdings,Financials,ACTIVE,,active constituent
FO,Omega Inc,Real Estate,ACTIVE,,active constituent
IOE,Gamma Holdings,Materials,ACTIVE,,active constituent
FDDV,Alpha Corp,Real Estate,ACTIVE,,active constituent
TTV,Omega Group,Financials,ACTIVE,,active constituent
VLNQ,Omega Corp,Materials,ACTIVE,,active constituent
QLK,Alpha Group,Materials,DELISTED,2022-05-17,delisted — excluded from revised universe
YHGO,Beta Inc,Healthcare,ACTIVE,,active constituent
LAE,Alpha Ltd,Consumer Discretionary,DELISTED,2021-07-09,delisted — excluded from revised universe
TX,Delta Corp,Materials,ACTIVE,,active constituent
SMW,Gamma Inc,Financials,ACTIVE,,active constituent
NPY,Delta Inc,Healthcare,ACTIVE,,active constituent
ORFD,Beta Corp,Industrials,ACTIVE,,active constituent
ZU,Delta Group,Financials,ACTIVE,,active constituent
ZKCR,Delta Corp,Real Estate,ACTIVE,,active constituent
PHYL,Omega Group,Industrials,ACTIVE,,active constituent
RS,Delta Ltd,Consumer Discretionary,ACTIVE,,active constituent
YNPK,Delta Group,Communication Services,ACTIVE,,active constituent
UNWP,Omega Group,Financials,ACTIVE,,active constituent
WAHO,Alpha Inc,Communication Services,ACTIVE,,active constituent
JJH,Omega Corp,Real Estate,ACTIVE,,active constituent
QG,Beta Group,Energy,ACTIVE,,active constituent
REJY,Omega Corp,Energy,ACTIVE,,active constituent
VP,Gamma Corp,Real Estate,DELISTED,2020-05-20,delisted — excluded from revised universe
NAAD,Omega Group,Industrials,ACTIVE,,active constituent
FHH,Beta Holdings,Communication Services,ACTIVE,,active constituent
USS,Gamma Ltd,Financials,ACTIVE,,active constituent
BUUN,Gamma Inc,Healthcare,ACTIVE,,active constituent
FSR,Delta Holdings,Financials,ACTIVE,,active constituent
AXS,Gamma Group,Utilities,ACTIVE,,active constituent
YMC,Gamma Corp,Healthcare,DELISTED,2022-06-27,delisted — excluded from revised universe
RFH,Beta Holdings,Technology,ACTIVE,,active constituent
AXWV,Alpha Corp,Real Estate,ACTIVE,,active constituent
SFLO,Omega Corp,Communication Services,ACTIVE,,active constituent
JHEZ,Omega Inc,Industrials,ACTIVE,,active constituent
BXDF,Gamma Ltd,Financials,ACTIVE,,active constituent
OJ,Beta Holdings,Real Estate,DELISTED,2021-03-04,delisted — excluded from revised universe
HAYA,Delta Group,Consumer Discretionary,ACTIVE,,active constituent
RRH,Omega Holdings,Materials,ACTIVE,,active constituent
LRRM,Delta Group,Energy,ACTIVE,,active constituent
WP,Beta Corp,Materials,DELISTED,2022-12-07,delisted — excluded from revised universe
PADY,Delta Inc,Financials,ACTIVE,,active constituent
AEUM,Beta Ltd,Communication Services,ACTIVE,,active constituent
RLRJ,Delta Ltd,Energy,ACTIVE,,active constituent
KHCA,Beta Holdings,Financials,ACTIVE,,active constituent
UEF,Omega Group,Technology,ACTIVE,,active constituent
VNS,Alpha Holdings,Financials,ACTIVE,,active constituent
LHN,Omega Holdings,Healthcare,ACTIVE,,active constituent
SBMK,Beta Group,Healthcare,ACTIVE,,active constituent
NXKD,Gamma Ltd,Utilities,ACTIVE,,active constituent
AJ,Beta Inc,Healthcare,ACTIVE,,active constituent
TMM,Gamma Group,Energy,ACTIVE,,active constituent
IXY,Gamma Corp,Financials,ACTIVE,,active constituent
SHY,Omega Inc,Utilities,ACTIVE,,active constituent
JHB,Delta Ltd,Utilities,ACTIVE,,active constituent
TOZ,Alpha Corp,Utilities,ACTIVE,,active constituent
KZ,Beta Corp,Energy,ACTIVE,,active constituent
SBG,Gamma Holdings,Healthcare,ACTIVE,,active constituent
IRA,Beta Holdings,Energy,ACTIVE,,active constituent
WDCJ,Delta Corp,Materials,DELISTED,2020-10-27,delisted — excluded from revised universe
BYVL,Delta Corp,Consumer Discretionary,ACTIVE,,active constituent
