symbol,date,open,high,low,close,volume,vwap,vwap_vs_close_diff,notes
ES,2024-11-09,5541.94,5643.15,5518.75,5567.51,2984525,5567.84,0.33,VWAP reference for TCA analysis
NQ,2024-11-28,4750.33,4839.46,4683.89,4767.22,3088594,4760.23,-6.99,VWAP reference for TCA analysis
YM,2024-11-18,5917.03,6013.0,5915.77,5988.43,2272959,5958.56,-29.87,VWAP reference for TCA analysis
NQ,2024-11-17,5001.21,5094.03,4969.53,5076.84,1341518,5035.4,-41.44,VWAP reference for TCA analysis
ES,2024-11-01,5707.66,5784.58,5640.1,5660.12,3065040,5698.11,37.99,VWAP reference for TCA analysis
ES,2024-11-19,4890.23,4984.64,4858.03,4928.58,1533856,4915.37,-13.21,VWAP reference for TCA analysis
ES,2024-11-22,5540.67,5583.88,5471.21,5570.23,4800565,5541.5,-28.73,VWAP reference for TCA analysis
ES,2024-11-27,4450.43,4510.62,4421.03,4449.25,1683349,4457.83,8.58,VWAP reference for TCA analysis
YM,2024-11-05,5016.18,5055.19,4963.95,4985.32,1762386,5005.16,19.84,VWAP reference for TCA analysis
YM,2024-11-16,5195.81,5235.44,5118.57,5162.67,982144,5178.12,15.45,VWAP reference for TCA analysis
YM,2024-11-15,4468.55,4515.77,4450.23,4451.66,4808425,4471.55,19.89,VWAP reference for TCA analysis
NQ,2024-11-25,5076.9,5088.95,5016.05,5060.97,4552145,5060.72,-0.25,VWAP reference for TCA analysis
NQ,2024-11-10,5319.55,5414.27,5264.62,5406.47,3764186,5351.23,-55.24,VWAP reference for TCA analysis
ES,2024-11-29,4510.31,4584.2,4435.73,4578.87,4072316,4527.28,-51.59,VWAP reference for TCA analysis
RTY,2024-11-01,4903.6,4961.66,4843.06,4961.02,4337823,4917.34,-43.68,VWAP reference for TCA analysis
RTY,2024-11-24,5340.35,5386.32,5291.27,5382.71,853017,5350.16,-32.55,VWAP reference for TCA analysis
YM,2024-11-10,4650.11,4711.93,4566.46,4569.04,2939014,4624.39,55.35,VWAP reference for TCA analysis
YM,2024-11-17,5578.47,5642.08,5520.6,5571.49,3393108,5578.16,6.67,VWAP reference for TCA analysis
NQ,2024-11-29,4944.39,4978.19,4884.05,4959.92,2972432,4941.64,-18.28,VWAP reference for TCA analysis
YM,2024-11-06,5766.2,5794.87,5739.73,5754.24,2678412,5763.76,9.52,VWAP reference for TCA analysis
ES,2024-11-22,5397.85,5427.86,5321.89,5343.69,354549,5372.82,29.13,VWAP reference for TCA analysis
RTY,2024-11-22,5414.48,5454.03,5375.36,5449.87,2997437,5423.43,-26.44,VWAP reference for TCA analysis
RTY,2024-11-20,4741.52,4804.49,4656.19,4711.53,825215,4728.43,16.9,VWAP reference for TCA analysis
RTY,2024-11-08,5748.36,5759.67,5745.5,5747.97,145466,5750.38,2.41,VWAP reference for TCA analysis
NQ,2024-11-19,5163.2,5231.31,5150.53,5167.13,2731957,5178.04,10.91,VWAP reference for TCA analysis
RTY,2024-11-21,4602.78,4611.21,4558.47,4561.41,2974353,4583.47,22.06,VWAP reference for TCA analysis
RTY,2024-11-06,5798.09,5802.69,5752.17,5775.33,2329526,5782.07,6.74,VWAP reference for TCA analysis
NQ,2024-11-10,5354.04,5450.11,5335.75,5366.33,610848,5376.56,10.23,VWAP reference for TCA analysis
YM,2024-11-11,4479.79,4568.12,4415.74,4434.71,679290,4474.59,39.88,VWAP reference for TCA analysis
NQ,2024-11-12,5549.31,5618.27,5466.97,5468.6,946760,5525.79,57.19,VWAP reference for TCA analysis
RTY,2024-11-30,4687.06,4687.15,4609.72,4667.1,1464308,4662.76,-4.34,VWAP reference for TCA analysis
ES,2024-11-29,5313.71,5389.78,5262.4,5272.6,1284321,5309.62,37.02,VWAP reference for TCA analysis
RTY,2024-11-08,5632.16,5680.27,5547.5,5664.78,1277735,5631.18,-33.6,VWAP reference for TCA analysis
YM,2024-11-05,4807.38,4855.94,4718.21,4730.97,340797,4778.12,47.15,VWAP reference for TCA analysis
NQ,2024-11-07,5899.16,5899.48,5821.98,5835.51,782210,5864.03,28.52,VWAP reference for TCA analysis
NQ,2024-11-03,5745.23,5765.22,5685.22,5699.09,4802737,5723.69,24.6,VWAP reference for TCA analysis
NQ,2024-11-18,4951.02,5027.18,4948.57,4993.87,1866600,4980.16,-13.71,VWAP reference for TCA analysis
NQ,2024-11-22,5848.8,5953.52,5804.39,5910.6,758897,5879.33,-31.27,VWAP reference for TCA analysis
ES,2024-11-27,5791.84,5898.53,5720.15,5807.97,4222931,5804.62,-3.35,VWAP reference for TCA analysis
RTY,2024-11-21,4457.62,4504.14,4439.23,4443.52,271755,4461.13,17.61,VWAP reference for TCA analysis
NQ,2024-11-21,4527.17,4545.79,4464.91,4491.53,2853021,4507.35,15.82,VWAP reference for TCA analysis
RTY,2024-11-14,5580.02,5686.3,5476.06,5629.72,3618333,5593.03,-36.69,VWAP reference for TCA analysis
RTY,2024-11-02,5056.5,5066.1,5036.81,5060.76,132283,5055.04,-5.72,VWAP reference for TCA analysis
ES,2024-11-04,4698.17,4781.81,4685.51,4736.14,3528892,4725.41,-10.73,VWAP reference for TCA analysis
YM,2024-11-15,4537.75,4598.14,4459.91,4570.66,4277368,4541.61,-29.05,VWAP reference for TCA analysis
ES,2024-11-25,5772.83,5873.3,5712.76,5762.22,4475998,5780.28,18.06,VWAP reference for TCA analysis
RTY,2024-11-01,4441.97,4499.32,4415.98,4497.14,2341419,4463.6,-33.54,VWAP reference for TCA analysis
ES,2024-11-14,5326.68,5367.94,5263.89,5312.39,2060038,5317.72,5.33,VWAP reference for TCA analysis
NQ,2024-11-16,4640.1,4714.95,4596.53,4606.44,4185313,4639.5,33.06,VWAP reference for TCA analysis
ES,2024-11-14,4764.19,4836.55,4678.78,4820.76,1548017,4775.07,-45.69,VWAP reference for TCA analysis
ES,2024-11-10,5730.55,5748.34,5662.1,5733.86,800692,5718.71,-15.15,VWAP reference for TCA analysis
NQ,2024-11-04,4932.86,5022.55,4885.09,4963.69,4717634,4951.05,-12.64,VWAP reference for TCA analysis
RTY,2024-11-17,5193.78,5236.86,5152.41,5225.99,2956033,5202.26,-23.73,VWAP reference for TCA analysis
RTY,2024-11-20,4455.82,4543.15,4375.84,4398.77,4993522,4443.4,44.63,VWAP reference for TCA analysis
NQ,2024-11-10,5788.29,5872.7,5709.52,5723.8,1568007,5773.58,49.78,VWAP reference for TCA analysis
RTY,2024-11-20,5813.14,5858.95,5760.82,5844.67,880430,5819.4,-25.27,VWAP reference for TCA analysis
YM,2024-11-07,4598.12,4661.51,4573.32,4598.34,1687500,4607.82,9.48,VWAP reference for TCA analysis
YM,2024-11-28,5929.81,5998.27,5824.28,5879.19,885466,5907.89,28.7,VWAP reference for TCA analysis
NQ,2024-11-12,5928.27,5967.33,5914.84,5961.88,3659757,5943.08,-18.8,VWAP reference for TCA analysis
NQ,2024-11-21,5209.22,5278.8,5186.58,5214.51,1398296,5222.28,7.77,VWAP reference for TCA analysis
YM,2024-11-13,4751.48,4818.13,4695.38,4797.16,640093,4765.54,-31.62,VWAP reference for TCA analysis
NQ,2024-11-22,5306.49,5325.87,5231.35,5317.71,2806922,5295.36,-22.35,VWAP reference for TCA analysis
RTY,2024-11-24,4996.26,5002.88,4988.69,4990.9,4994346,4994.68,3.78,VWAP reference for TCA analysis
NQ,2024-11-01,5133.03,5221.46,5116.02,5189.13,4429543,5164.91,-24.22,VWAP reference for TCA analysis
RTY,2024-11-11,4822.88,4842.42,4807.19,4826.25,3082535,4824.68,-1.57,VWAP reference for TCA analysis
ES,2024-11-28,5222.02,5229.68,5209.01,5228.88,882764,5222.4,-6.48,VWAP reference for TCA analysis
ES,2024-11-17,4855.58,4924.56,4805.7,4853.18,2286819,4859.76,6.58,VWAP reference for TCA analysis
RTY,2024-11-08,5862.65,5968.29,5834.02,5876.58,1375208,5885.39,8.81,VWAP reference for TCA analysis
NQ,2024-11-16,5285.58,5325.68,5188.1,5244.94,315450,5261.07,16.13,VWAP reference for TCA analysis
YM,2024-11-13,5792.55,5814.76,5712.52,5770.04,414145,5772.47,2.43,VWAP reference for TCA analysis
RTY,2024-11-30,4467.42,4516.88,4461.96,4485.19,1212224,4482.86,-2.33,VWAP reference for TCA analysis
RTY,2024-11-12,4767.87,4834.22,4740.74,4783.94,3004429,4781.69,-2.25,VWAP reference for TCA analysis
YM,2024-11-15,5890.09,6000.26,5862.53,5946.4,2660032,5924.82,-21.58,VWAP reference for TCA analysis
ES,2024-11-13,5038.26,5089.54,4975.59,5025.91,3445409,5032.32,6.41,VWAP reference for TCA analysis
ES,2024-11-04,4743.19,4835.25,4697.48,4771.67,1757068,4761.9,-9.77,VWAP reference for TCA analysis
RTY,2024-11-18,4935.7,4980.14,4900.7,4918.02,3603121,4933.64,15.62,VWAP reference for TCA analysis
RTY,2024-11-25,5509.12,5610.15,5450.78,5512.53,2773237,5520.64,8.11,VWAP reference for TCA analysis
RTY,2024-11-19,5383.09,5433.13,5285.81,5395.23,2169114,5374.32,-20.91,VWAP reference for TCA analysis
YM,2024-11-10,4761.1,4847.54,4715.59,4777.02,2213962,4775.31,-1.71,VWAP reference for TCA analysis
NQ,2024-11-07,5913.25,5965.82,5844.03,5964.41,172340,5921.88,-42.53,VWAP reference for TCA analysis
ES,2024-11-28,5863.69,5945.83,5772.49,5810.59,1252646,5848.15,37.56,VWAP reference for TCA analysis
YM,2024-11-03,5598.2,5671.93,5592.49,5595.0,4305549,5614.41,19.41,VWAP reference for TCA analysis
NQ,2024-11-09,4652.99,4726.85,4639.39,4661.73,1764899,4670.24,8.51,VWAP reference for TCA analysis
NQ,2024-11-14,5678.74,5687.31,5566.04,5604.16,1649884,5634.06,29.9,VWAP reference for TCA analysis
YM,2024-11-28,5120.43,5158.63,5063.53,5145.61,3276012,5122.05,-23.56,VWAP reference for TCA analysis
YM,2024-11-06,5549.1,5620.97,5456.2,5555.35,646663,5545.41,-9.94,VWAP reference for TCA analysis
ES,2024-11-02,4793.41,4814.23,4699.45,4720.96,1602536,4757.01,36.05,VWAP reference for TCA analysis
ES,2024-11-05,5505.77,5579.35,5457.27,5543.37,990538,5521.44,-21.93,VWAP reference for TCA analysis
NQ,2024-11-29,4631.2,4689.97,4547.57,4598.8,3488200,4616.89,18.09,VWAP reference for TCA analysis
NQ,2024-11-24,4808.7,4819.07,4806.39,4816.15,2642591,4812.58,-3.57,VWAP reference for TCA analysis
YM,2024-11-17,4899.13,4944.86,4807.34,4822.92,782898,4868.56,45.64,VWAP reference for TCA analysis
ES,2024-11-24,4585.33,4614.13,4525.04,4558.15,1706906,4570.66,12.51,VWAP reference for TCA analysis
YM,2024-11-10,4978.27,4993.64,4925.84,4981.39,2495766,4969.78,-11.61,VWAP reference for TCA analysis
ES,2024-11-26,5082.46,5102.71,4988.52,5081.69,689066,5063.85,-17.84,VWAP reference for TCA analysis
ES,2024-11-27,5777.81,5852.5,5744.44,5753.83,2723556,5782.15,28.32,VWAP reference for TCA analysis
NQ,2024-11-07,4526.98,4589.66,4510.83,4561.68,865483,4547.29,-14.39,VWAP reference for TCA analysis
ES,2024-11-03,5861.99,5913.17,5769.87,5784.93,4783670,5832.49,47.56,VWAP reference for TCA analysis
ES,2024-11-20,4782.62,4841.07,4754.78,4820.78,547229,4799.81,-20.97,VWAP reference for TCA analysis
NQ,2024-11-01,5445.42,5469.67,5382.39,5431.3,2827072,5432.19,0.89,VWAP reference for TCA analysis
ES,2024-11-16,4921.56,4930.73,4850.73,4900.23,1582050,4900.81,0.58,VWAP reference for TCA analysis
RTY,2024-11-18,4620.22,4674.8,4549.42,4665.52,3170504,4627.49,-38.03,VWAP reference for TCA analysis
NQ,2024-11-28,5261.17,5333.69,5197.54,5234.83,4460894,5256.81,21.98,VWAP reference for TCA analysis
ES,2024-11-12,5672.98,5706.79,5668.69,5700.23,916389,5687.17,-13.06,VWAP reference for TCA analysis
NQ,2024-11-16,5682.21,5694.7,5654.78,5664.26,472091,5673.99,9.73,VWAP reference for TCA analysis
RTY,2024-11-03,4604.7,4676.97,4604.06,4618.99,2189080,4626.18,7.19,VWAP reference for TCA analysis
YM,2024-11-20,5725.04,5837.35,5673.25,5778.43,1142292,5753.52,-24.91,VWAP reference for TCA analysis
NQ,2024-11-13,4900.43,4980.46,4829.72,4835.75,4403778,4886.59,50.84,VWAP reference for TCA analysis
YM,2024-11-14,4724.27,4795.0,4695.7,4789.53,2146736,4751.12,-38.41,VWAP reference for TCA analysis
RTY,2024-11-17,4506.4,4577.64,4424.21,4446.34,400500,4488.65,42.31,VWAP reference for TCA analysis
ES,2024-11-14,5703.35,5759.14,5687.66,5733.11,806185,5720.82,-12.29,VWAP reference for TCA analysis
NQ,2024-11-15,5663.3,5695.24,5622.38,5666.38,2580754,5661.83,-4.55,VWAP reference for TCA analysis
ES,2024-11-25,5445.99,5492.47,5355.02,5479.85,217573,5443.33,-36.52,VWAP reference for TCA analysis
ES,2024-11-19,5873.39,5901.84,5805.35,5852.0,2210037,5858.15,6.15,VWAP reference for TCA analysis
NQ,2024-11-04,4791.82,4833.65,4787.04,4792.88,4469843,4801.35,8.47,VWAP reference for TCA analysis
ES,2024-11-04,5197.53,5216.63,5147.25,5187.13,724358,5187.14,0.01,VWAP reference for TCA analysis
NQ,2024-11-03,5970.37,6033.2,5953.76,6027.12,1441422,5996.11,-31.01,VWAP reference for TCA analysis
RTY,2024-11-12,4639.85,4694.5,4637.51,4641.63,2173741,4653.37,11.74,VWAP reference for TCA analysis
RTY,2024-11-02,5150.93,5199.98,5108.98,5147.62,2184739,5151.88,4.26,VWAP reference for TCA analysis
RTY,2024-11-13,4564.56,4652.88,4481.49,4585.38,4880072,4571.08,-14.3,VWAP reference for TCA analysis
RTY,2024-11-23,4948.07,4994.04,4865.62,4883.41,2151549,4922.78,39.37,VWAP reference for TCA analysis
YM,2024-11-15,4464.21,4533.41,4430.25,4496.4,2058743,4481.07,-15.33,VWAP reference for TCA analysis
NQ,2024-11-01,5378.62,5472.37,5343.44,5364.13,1516840,5389.64,25.51,VWAP reference for TCA analysis
YM,2024-11-07,5376.86,5388.99,5322.98,5358.27,3187467,5361.77,3.5,VWAP reference for TCA analysis
RTY,2024-11-08,4482.47,4518.72,4410.83,4434.21,4836509,4461.56,27.35,VWAP reference for TCA analysis
YM,2024-11-26,5425.02,5439.43,5323.41,5429.97,2761508,5404.46,-25.51,VWAP reference for TCA analysis
ES,2024-11-12,4932.48,4966.64,4875.92,4891.46,991136,4916.62,25.16,VWAP reference for TCA analysis
RTY,2024-11-18,5895.44,5952.55,5860.97,5867.41,2022291,5894.09,26.68,VWAP reference for TCA analysis
RTY,2024-11-07,4674.72,4693.58,4661.79,4663.26,2388947,4673.34,10.08,VWAP reference for TCA analysis
NQ,2024-11-23,4720.07,4778.11,4634.45,4711.04,2173463,4710.92,-0.12,VWAP reference for TCA analysis
NQ,2024-11-24,5044.59,5117.34,4992.58,5083.82,2737885,5059.58,-24.24,VWAP reference for TCA analysis
ES,2024-11-09,4492.28,4576.02,4481.13,4540.21,4292284,4522.41,-17.8,VWAP reference for TCA analysis
NQ,2024-11-10,5126.91,5134.09,5051.94,5061.52,4463846,5093.61,32.09,VWAP reference for TCA analysis
RTY,2024-11-04,5052.41,5059.78,5043.68,5047.09,1154269,5050.74,3.65,VWAP reference for TCA analysis
YM,2024-11-22,5971.55,6046.55,5923.35,6034.73,460389,5994.05,-40.68,VWAP reference for TCA analysis
YM,2024-11-03,5089.57,5183.71,4990.98,5046.25,1233666,5077.63,31.38,VWAP reference for TCA analysis
ES,2024-11-04,5643.99,5733.59,5537.08,5681.64,783320,5649.07,-32.57,VWAP reference for TCA analysis
ES,2024-11-12,5896.33,5935.91,5871.98,5878.1,1977338,5895.58,17.48,VWAP reference for TCA analysis
NQ,2024-11-26,4644.75,4699.88,4573.83,4678.15,4430571,4649.15,-29.0,VWAP reference for TCA analysis
YM,2024-11-13,5361.61,5458.59,5353.04,5445.0,3422658,5404.56,-40.44,VWAP reference for TCA analysis
NQ,2024-11-28,4458.22,4481.11,4387.2,4456.72,2409503,4445.81,-10.91,VWAP reference for TCA analysis
RTY,2024-11-14,5624.66,5722.5,5597.48,5699.36,3772110,5661.0,-38.36,VWAP reference for TCA analysis
YM,2024-11-14,5000.14,5072.78,4933.16,4978.53,4504068,4996.15,17.62,VWAP reference for TCA analysis
ES,2024-11-05,4654.55,4742.55,4577.0,4585.23,2114886,4639.83,54.6,VWAP reference for TCA analysis
YM,2024-11-25,5625.52,5712.93,5609.12,5626.51,172715,5643.52,17.01,VWAP reference for TCA analysis
ES,2024-11-26,4510.08,4572.09,4484.25,4519.07,2884960,4521.37,2.3,VWAP reference for TCA analysis
RTY,2024-11-02,5600.61,5633.47,5489.78,5606.29,1221211,5582.54,-23.75,VWAP reference for TCA analysis
ES,2024-11-16,5406.22,5431.63,5338.84,5382.06,4412388,5389.69,7.63,VWAP reference for TCA analysis
RTY,2024-11-05,5419.64,5457.77,5364.82,5411.51,4377923,5413.43,1.92,VWAP reference for TCA analysis
RTY,2024-11-28,4677.9,4744.81,4635.82,4742.93,1022257,4700.36,-42.57,VWAP reference for TCA analysis
RTY,2024-11-22,4525.86,4536.8,4472.41,4513.35,1994529,4512.1,-1.25,VWAP reference for TCA analysis
NQ,2024-11-05,5649.35,5748.08,5588.45,5605.34,2379753,5647.81,42.47,VWAP reference for TCA analysis
NQ,2024-11-16,4418.82,4451.76,4401.31,4405.84,3871994,4419.43,13.59,VWAP reference for TCA analysis
NQ,2024-11-15,5587.16,5698.59,5545.66,5606.4,747056,5609.45,3.05,VWAP reference for TCA analysis
NQ,2024-11-13,4436.55,4489.83,4376.97,4459.73,3976069,4440.77,-18.96,VWAP reference for TCA analysis
RTY,2024-11-20,4746.07,4823.45,4718.31,4776.46,4360534,4766.07,-10.39,VWAP reference for TCA analysis
ES,2024-11-29,4436.31,4491.48,4361.79,4465.06,409613,4438.66,-26.4,VWAP reference for TCA analysis
RTY,2024-11-06,5561.04,5586.21,5493.81,5509.01,2168728,5537.52,28.51,VWAP reference for TCA analysis
ES,2024-11-18,5598.29,5615.72,5547.66,5605.83,3983149,5591.88,-13.95,VWAP reference for TCA analysis
RTY,2024-11-25,4563.93,4608.81,4486.57,4595.26,3445523,4563.64,-31.62,VWAP reference for TCA analysis
RTY,2024-11-17,4953.81,5037.06,4881.19,4973.82,3655703,4961.47,-12.35,VWAP reference for TCA analysis
ES,2024-11-28,4630.54,4704.6,4622.44,4667.44,1447218,4656.25,-11.19,VWAP reference for TCA analysis
RTY,2024-11-01,5060.38,5111.0,4998.19,5065.74,4764174,5058.83,-6.91,VWAP reference for TCA analysis
ES,2024-11-23,5253.15,5284.4,5245.91,5250.99,1954091,5258.61,7.62,VWAP reference for TCA analysis
YM,2024-11-04,5435.95,5460.97,5354.15,5430.32,3113433,5420.35,-9.97,VWAP reference for TCA analysis
YM,2024-11-29,4583.15,4593.99,4495.85,4593.68,2751096,4566.67,-27.01,VWAP reference for TCA analysis
RTY,2024-11-16,5018.07,5113.19,4966.3,5110.14,3288121,5051.92,-58.22,VWAP reference for TCA analysis
ES,2024-11-06,4716.74,4770.66,4661.67,4769.68,2609136,4729.69,-39.99,VWAP reference for TCA analysis
YM,2024-11-26,4818.74,4872.33,4754.52,4781.09,4337192,4806.67,25.58,VWAP reference for TCA analysis
NQ,2024-11-26,5982.33,6003.06,5897.07,5919.8,4687905,5950.56,30.76,VWAP reference for TCA analysis
ES,2024-11-10,4829.26,4855.31,4814.87,4844.53,1798270,4835.99,-8.54,VWAP reference for TCA analysis
RTY,2024-11-07,5082.36,5102.85,5010.96,5061.26,194817,5064.36,3.1,VWAP reference for TCA analysis
ES,2024-11-20,5495.78,5562.66,5439.14,5529.61,1918379,5506.8,-22.81,VWAP reference for TCA analysis
ES,2024-11-03,5342.65,5404.33,5336.15,5336.54,4658100,5354.92,18.38,VWAP reference for TCA analysis
YM,2024-11-28,5064.89,5105.7,5050.93,5093.01,2702697,5078.63,-14.38,VWAP reference for TCA analysis
YM,2024-11-18,5872.31,5888.5,5855.59,5867.2,1009947,5870.9,3.7,VWAP reference for TCA analysis
RTY,2024-11-03,4777.72,4851.64,4743.19,4791.6,3708861,4791.04,-0.56,VWAP reference for TCA analysis
RTY,2024-11-21,4733.73,4810.65,4655.81,4677.77,2452497,4719.49,41.72,VWAP reference for TCA analysis
YM,2024-11-29,4801.63,4821.07,4732.55,4764.13,617443,4779.85,15.72,VWAP reference for TCA analysis
YM,2024-11-18,5356.66,5375.04,5269.7,5286.16,1853746,5321.89,35.73,VWAP reference for TCA analysis
NQ,2024-11-23,4710.51,4726.43,4710.08,4715.05,2781141,4715.52,0.47,VWAP reference for TCA analysis
YM,2024-11-04,5093.73,5147.64,5027.23,5039.2,3530643,5076.95,37.75,VWAP reference for TCA analysis
YM,2024-11-07,5202.61,5305.23,5122.54,5184.43,2502638,5203.7,19.27,VWAP reference for TCA analysis
RTY,2024-11-14,5315.99,5367.29,5277.68,5345.63,1132708,5326.65,-18.98,VWAP reference for TCA analysis
ES,2024-11-05,5781.16,5859.37,5724.09,5784.49,1174708,5787.28,2.79,VWAP reference for TCA analysis
YM,2024-11-25,5933.35,6007.62,5846.3,5962.06,362507,5937.33,-24.73,VWAP reference for TCA analysis
RTY,2024-11-13,5936.56,6019.87,5906.27,5983.51,1291965,5961.55,-21.96,VWAP reference for TCA analysis
ES,2024-11-08,4597.85,4600.09,4525.8,4549.59,4315740,4568.33,18.74,VWAP reference for TCA analysis
ES,2024-11-11,4536.83,4618.61,4499.9,4519.65,2604270,4543.75,24.1,VWAP reference for TCA analysis
ES,2024-11-20,4870.58,4912.08,4780.74,4892.03,1952812,4863.86,-28.17,VWAP reference for TCA analysis
ES,2024-11-20,4821.61,4885.42,4795.27,4804.92,4799789,4826.81,21.89,VWAP reference for TCA analysis
ES,2024-11-15,5932.22,6003.43,5842.26,5964.31,1392521,5935.56,-28.75,VWAP reference for TCA analysis
YM,2024-11-25,5527.51,5572.74,5525.15,5532.35,3214026,5539.44,7.09,VWAP reference for TCA analysis
RTY,2024-11-15,5080.23,5169.86,4997.32,5154.47,1920940,5100.47,-54.0,VWAP reference for TCA analysis
YM,2024-11-18,5410.07,5410.88,5361.61,5408.92,1505248,5397.87,-11.05,VWAP reference for TCA analysis
NQ,2024-11-12,4907.49,4915.82,4896.95,4906.82,2250551,4906.77,-0.05,VWAP reference for TCA analysis
YM,2024-11-10,5306.97,5377.35,5285.52,5296.11,4340028,5316.49,20.38,VWAP reference for TCA analysis
RTY,2024-11-02,5798.28,5882.81,5756.43,5784.44,1418546,5805.49,21.05,VWAP reference for TCA analysis
ES,2024-11-06,5835.61,5952.02,5806.11,5845.41,4688976,5859.79,14.38,VWAP reference for TCA analysis
ES,2024-11-06,4572.01,4633.33,4485.19,4511.5,4942665,4550.51,39.01,VWAP reference for TCA analysis
YM,2024-11-18,5329.73,5345.11,5292.9,5294.75,1070035,5315.62,20.87,VWAP reference for TCA analysis
ES,2024-11-06,4642.04,4704.13,4565.35,4567.12,2022680,4619.66,52.54,VWAP reference for TCA analysis
RTY,2024-11-15,5741.45,5842.33,5659.95,5781.61,3070496,5756.34,-25.27,VWAP reference for TCA analysis
YM,2024-11-23,5156.13,5164.02,5057.59,5061.09,548876,5109.71,48.62,VWAP reference for TCA analysis
NQ,2024-11-16,5689.37,5698.22,5632.99,5678.94,4230943,5674.88,-4.06,VWAP reference for TCA analysis
YM,2024-11-01,5288.86,5373.89,5282.57,5348.79,4073062,5323.53,-25.26,VWAP reference for TCA analysis
NQ,2024-11-09,5845.36,5954.86,5769.3,5923.7,2399845,5873.31,-50.39,VWAP reference for TCA analysis
ES,2024-11-08,4660.26,4701.36,4654.53,4684.17,2967032,4675.08,-9.09,VWAP reference for TCA analysis
RTY,2024-11-21,4841.45,4846.67,4778.69,4808.63,3597759,4818.86,10.23,VWAP reference for TCA analysis
ES,2024-11-20,5907.07,6011.68,5818.07,5847.41,2120245,5896.06,48.65,VWAP reference for TCA analysis
YM,2024-11-17,5086.47,5108.81,5040.68,5055.11,2731422,5072.77,17.66,VWAP reference for TCA analysis
NQ,2024-11-14,4471.87,4482.55,4416.87,4418.07,1463107,4447.34,29.27,VWAP reference for TCA analysis
YM,2024-11-07,4646.85,4731.93,4628.33,4638.2,4977616,4661.33,23.13,VWAP reference for TCA analysis
RTY,2024-11-26,5094.19,5151.13,5042.7,5098.77,1374592,5096.7,-2.07,VWAP reference for TCA analysis
RTY,2024-11-09,5057.78,5070.28,5055.32,5066.19,792113,5062.39,-3.8,VWAP reference for TCA analysis
RTY,2024-11-12,5937.13,5948.95,5866.38,5947.68,4512495,5925.03,-22.65,VWAP reference for TCA analysis
RTY,2024-11-15,5422.51,5455.28,5414.01,5428.89,522024,5430.17,1.28,VWAP reference for TCA analysis
RTY,2024-11-02,5124.89,5171.75,5061.15,5101.63,2417722,5114.85,13.22,VWAP reference for TCA analysis
YM,2024-11-15,5688.2,5717.82,5612.17,5626.75,338994,5661.24,34.49,VWAP reference for TCA analysis
ES,2024-11-25,5841.16,5954.37,5747.23,5878.86,585499,5855.4,-23.46,VWAP reference for TCA analysis
ES,2024-11-12,4874.27,4949.0,4801.71,4810.54,3082478,4858.88,48.34,VWAP reference for TCA analysis
NQ,2024-11-11,5448.26,5457.57,5381.25,5447.98,4794084,5433.76,-14.22,VWAP reference for TCA analysis
ES,2024-11-09,5695.99,5703.38,5634.23,5651.19,1138667,5671.2,20.01,VWAP reference for TCA analysis
YM,2024-11-20,4659.5,4738.33,4609.9,4723.15,940687,4682.72,-40.43,VWAP reference for TCA analysis
YM,2024-11-10,4718.78,4811.09,4686.27,4728.13,561775,4736.07,7.94,VWAP reference for TCA analysis
YM,2024-11-05,5750.57,5830.3,5709.39,5793.72,399075,5770.99,-22.73,VWAP reference for TCA analysis
RTY,2024-11-28,5455.61,5531.35,5360.2,5528.5,4049193,5468.91,-59.59,VWAP reference for TCA analysis
NQ,2024-11-27,5511.0,5614.01,5432.26,5466.0,327914,5505.82,39.82,VWAP reference for TCA analysis
YM,2024-11-18,4684.66,4732.59,4672.88,4676.28,1903924,4691.6,15.32,VWAP reference for TCA analysis
ES,2024-11-16,5255.38,5336.74,5159.75,5299.42,2264696,5262.82,-36.6,VWAP reference for TCA analysis
YM,2024-11-22,5626.24,5656.46,5589.72,5607.28,2288567,5619.93,12.65,VWAP reference for TCA analysis
YM,2024-11-09,5364.93,5404.85,5356.07,5387.01,308363,5378.22,-8.79,VWAP reference for TCA analysis
RTY,2024-11-22,5735.23,5791.86,5706.49,5783.44,4985218,5754.26,-29.18,VWAP reference for TCA analysis
RTY,2024-11-30,4784.12,4853.32,4708.67,4805.7,2813950,4787.95,-17.75,VWAP reference for TCA analysis
YM,2024-11-20,5933.27,5955.3,5912.81,5915.17,2724711,5929.14,13.97,VWAP reference for TCA analysis
RTY,2024-11-03,5069.77,5087.73,4987.85,5069.19,1188696,5053.64,-15.55,VWAP reference for TCA analysis
YM,2024-11-27,5624.4,5663.98,5592.19,5641.91,3785382,5630.62,-11.29,VWAP reference for TCA analysis
NQ,2024-11-25,5819.47,5888.95,5754.65,5796.09,4327193,5814.79,18.7,VWAP reference for TCA analysis
NQ,2024-11-19,5974.26,6063.24,5875.45,5904.75,2099401,5954.43,49.68,VWAP reference for TCA analysis
YM,2024-11-11,5154.08,5161.43,5143.14,5160.27,4869970,5154.73,-5.54,VWAP reference for TCA analysis
YM,2024-11-10,5960.7,6062.52,5938.14,5985.99,1579231,5986.84,0.85,VWAP reference for TCA analysis
NQ,2024-11-18,5063.01,5121.07,4995.4,4995.91,3978571,5043.85,47.94,VWAP reference for TCA analysis
